HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,R_squared,BIC,N_obs,HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,R_squared,BIC,N_obs
93247,continuous cardiac monitoring and detection,0,-857.3050,1792.9227,935.6177,0,1.45E-76,1.11E-94,2.79E-117,0.8021,643.7680,42,93247,continuous cardiac monitoring and detection,0,-857.3050,1792.9227,935.6177,0,1.45E-76,1.11E-94,2.79E-117,0.8021,643.7680,42
93243,continuous cardiac monitoring and detection,0,-692.4881,1483.4666,790.9786,0,5.44E-49,5.04E-63,9.47E-81,0.8497,649.0534,42,93243,continuous cardiac monitoring and detection,0,-692.4881,1483.4666,790.9786,0,5.44E-49,5.04E-63,9.47E-81,0.8497,649.0534,42
93246,continuous cardiac monitoring and detection,0,-129.9846,300.5532,170.5686,0,6.98E-10,2.82E-14,2.64E-20,0.8313,580.3343,42,93246,continuous cardiac monitoring and detection,0,-129.9846,300.5532,170.5686,0,6.98E-10,2.82E-14,2.64E-20,0.8313,580.3343,42
93248,continuous cardiac monitoring and detection,0,-132.3011,310.3377,178.0366,0,8.35E-07,9.41E-10,9.46E-14,0.8057,597.6316,42,93248,continuous cardiac monitoring and detection,0,-132.3011,310.3377,178.0366,0,8.35E-07,9.41E-10,9.46E-14,0.8057,597.6316,42
93244,continuous cardiac monitoring and detection,0,-65.8891,169.0342,103.1452,0,1.64E-05,4.14E-09,2.38E-14,0.7962,582.8961,42,93244,continuous cardiac monitoring and detection,0,-65.8891,169.0342,103.1452,0,1.64E-05,4.14E-09,2.38E-14,0.7962,582.8961,42
85390,Coagulation interpretation/report,644.0450,43.5308,1272.0892,-48.8628,5.72E-08,2.09E-06,1.53E-08,5.64E-07,0.9139,1133.1190,78,85390,Coagulation interpretation/report,616.9537,49.9328,1224.9069,-55.2649,1.14E-06,1.13E-06,6.33E-08,3.20E-07,0.9153,1087.7276,75
81241,Factor V Leiden,1910.3153,-20.1275,607.3914,11.4208,5.99E-259,4.78E-09,2.64E-08,0.0093,0.3799,1073.8171,78,81241,Factor V Leiden,1896.6988,-18.0247,493.3354,9.3180,3.19E-276,5.24E-10,1.47E-08,0.0222,0.3329,1022.2326,75
81240,Prothrombin gene mutation,1581.4895,-22.0740,428.7394,16.9092,1.84E-272,3.22E-15,1.19E-06,2.33E-06,0.5032,1035.2360,78,81240,Prothrombin gene mutation,1576.5062,-21.1547,338.0844,15.9899,1.44E-283,4.37E-17,5.03E-06,2.91E-06,0.4848,988.2707,75
86140,CRP,144714.3018,1729.2256,47514.5242,-1568.0455,9.73E-269,1.45E-07,1.77E-06,6.48E-05,0.8473,1766.9908,78,86140,CRP,140924.5152,2283.8239,38744.8436,-2122.6437,3.64E-245,2.78E-30,4.12E-11,5.60E-13,0.8797,1676.5994,75
85300,Antithrombin III,598.5796,9.4018,340.6187,-12.5468,4.76E-124,9.47E-05,2.41E-06,7.14E-06,0.7578,997.9444,78,85300,Antithrombin III,577.4260,12.5548,289.0813,-15.6999,2.18E-118,7.44E-12,2.26E-08,2.18E-11,0.7932,942.3304,75
86148,Beta-2 glycoprotein,656.7538,18.0506,580.3714,-49.3547,2.13E-93,2.56E-13,4.79E-06,2.96E-35,0.6531,1092.0982,78,86148,Beta-2 glycoprotein,618.1141,22.8830,518.5247,-54.1871,4.00E-99,3.11E-29,8.06E-06,3.39E-46,0.6832,1044.8030,75
93242,continuous cardiac monitoring and detection,0,-68.3858,186.3424,117.9566,0,0.0018,6.33E-06,1.29E-09,0.8625,587.0180,42,93242,continuous cardiac monitoring and detection,0,-68.3858,186.3424,117.9566,0,0.0018,6.33E-06,1.29E-09,0.8625,587.0180,42
96137, Psychological or neuropsychological test administration and scoring each additional 30 minutes. ,5409.7433,-18.5683,2714.7785,111.2571,9.26E-77,0.5487,1.49E-05,0.0013,0.8179,1129.0401,66,96137, Psychological or neuropsychological test administration and scoring each additional 30 minutes. ,5398.7922,4.0494,2217.6726,88.6395,2.77E-96,0.8822,9.63E-06,0.0047,0.8136,1072.4836,63
85303,Protein C / S,675.2402,9.0085,316.0815,-12.5201,6.80E-139,0.0003,3.43E-05,2.22E-05,0.7128,1002.6228,78,85303,Protein C / S,652.6168,12.4425,255.8419,-15.9541,6.87E-141,2.29E-12,2.12E-06,4.42E-11,0.7529,946.1138,75
85652,ESR,129423.0646,590.2185,38853.5911,-302.2382,0.0000,0.0518,5.05E-05,0.4083,0.7335,1757.4509,78,85652,ESR,126174.1052,1062.4555,28761.6216,-774.4752,0.0000,1.96E-13,6.58E-08,0.0024,0.7874,1661.1978,75
86146,Anticardiolipin antibodies (IgG/IgM),2520.9429,68.4874,1454.9102,-15.0226,6.68E-82,1.65E-10,5.31E-05,0.3064,0.8869,1264.9396,78,86146,Anticardiolipin antibodies (IgG/IgM),2394.0802,86.3927,1214.2647,-32.9279,1.85E-65,4.85E-26,1.18E-05,0.0114,0.8987,1206.3278,75
85306,Protein C / S,785.8784,10.9403,347.7576,-14.2691,5.82E-181,0.0001,6.74E-05,1.60E-05,0.7216,1024.1795,78,85306,Protein C / S,756.3708,15.3443,269.1591,-18.6731,1.63E-208,2.51E-21,3.56E-07,1.61E-15,0.7724,961.9388,75
96110," Developmental screening, per standardized instrument, with scoring and documentation. ",249805.7162,1853.8067,97939.7545,-1576.4862,2.52E-148,0.0136,7.16E-05,0.0951,0.6924,1914.2029,78,96110," Developmental screening, per standardized instrument, with scoring and documentation. ",242924.7897,2923.7934,76142.5250,-2646.4730,2.75E-169,3.62E-12,3.90E-06,0.0002,0.7220,1824.5930,75
85597,Platelet aggregation studies,363.5616,2.9933,198.9084,-0.5436,2.83E-112,0.0242,8.78E-05,0.7741,0.7346,945.6992,78,85597,Platelet aggregation studies,354.4652,4.5164,168.2465,-2.0667,1.60E-151,1.51E-06,8.36E-05,0.2097,0.7412,902.7534,75
85379,D-dimer,33838.5120,999.4676,20552.3786,-1695.6112,2.12E-36,5.17E-07,0.0001,5.07E-13,0.7690,1643.4260,78,85379,D-dimer,33266.1925,1129.4596,19963.3571,-1825.6032,7.00E-30,7.29E-07,0.0003,2.98E-12,0.7708,1580.4680,75
85245,Clotting factors (selective use),1042.4520,19.4488,748.1498,-2.9094,2.88E-63,0.0008,0.0001,0.6969,0.8329,1145.7025,78,85245,Clotting factors (selective use),976.9358,28.7540,574.2448,-12.2147,5.20E-87,8.34E-21,1.17E-05,0.0319,0.8624,1081.2419,75
86147,Anticardiolipin antibodies (IgG/IgM),4343.0931,68.2677,1926.7094,-4.5171,4.43E-128,7.87E-06,0.0001,0.8224,0.8582,1309.8906,78,86147,Anticardiolipin antibodies (IgG/IgM),4174.0339,92.7403,1517.4482,-28.9897,1.93E-128,6.66E-23,1.33E-05,0.0745,0.8782,1244.4429,75
95923,Sudomotor function (QSART),4782.6006,-58.2073,1483.2415,48.1203,6.72E-97,3.98E-05,0.0001,0.0022,0.3199,1246.5346,78,95923,Sudomotor function (QSART),4727.8146,-47.4108,1017.9151,37.3237,2.26E-95,9.02E-07,4.97E-06,0.0018,0.2620,1170.1227,75
85246,Clotting factors (selective use),1399.9745,21.3094,826.4452,-0.6853,6.70E-86,0.0013,0.0002,0.9366,0.8299,1167.8736,78,85246,Clotting factors (selective use),1321.0321,32.2309,619.8261,-11.6069,7.26E-141,5.71E-21,4.29E-05,0.0780,0.8606,1102.0011,75
85025,CBC,2891786.5526,1283.1272,601686.5394,5337.6206,0.0000,0.8028,0.0003,0.4040,0.6536,2196.2580,78,85025,CBC,2836372.8004,8967.3212,415055.4640,-2346.5734,0.0000,0.0010,3.23E-05,0.6251,0.7141,2079.5212,75
84478,Triglycerides,29954.1411,-109.7525,9986.6531,28.1698,1.28E-254,0.1307,0.0004,0.7735,0.3527,1550.9897,78,84478,Triglycerides,29394.2567,-23.1979,7447.5313,-58.3848,0.0000,0.4519,0.0003,0.4304,0.3238,1473.0933,75
95910,Nerve conduction studies (depending on number of nerves tested),1895.3198,-12.7945,773.1288,12.3338,4.53E-91,0.0636,0.0004,0.1421,0.3374,1172.4608,78,95910,Nerve conduction studies (depending on number of nerves tested),1855.4528,-5.8616,552.7617,5.4010,1.79E-95,0.1662,0.0001,0.4038,0.2911,1109.9392,75
96111," Deleted; old code for developmental testing, per hour / extended developmental testing",8726.1607,-332.9219,2941.3664,333.7968,8.08E-18,6.13E-14,0.0005,5.28E-14,0.7596,1384.4532,69,96111," Deleted; old code for developmental testing, per hour / extended developmental testing",9245.9376,-380.2423,2937.0777,381.1172,2.20E-23,1.26E-16,0.0007,1.07E-16,0.7957,1321.9087,66
93042,"Rhythm ECG (limited, interpretation dependent)",8727.2102,26.2039,2395.8196,-88.6888,9.53E-256,0.1609,0.0005,0.0004,0.4188,1334.6380,78,93042,"Rhythm ECG (limited, interpretation dependent)",8512.1569,55.9485,1737.6551,-118.4335,7.24E-249,1.82E-06,0.0006,7.60E-09,0.4788,1260.9630,75
85247,Clotting factors (selective use),291.0015,6.4079,222.0501,-2.2381,2.38E-45,0.0005,0.0006,0.3501,0.7847,978.7797,78,85247,Clotting factors (selective use),271.6934,9.2426,169.8683,-5.0729,1.71E-75,2.92E-19,0.0003,0.0064,0.8094,926.4247,75
