code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
93281,month,2018-12,17,74770615.0,0.022736204590533327,0.013244677029348086,0.036402866040230665
93281,month,2019-01,25,75376060.0,0.033167029425523166,0.02146395267652531,0.04896107822235649
93281,month,2019-02,21,75153292.0,0.027942887718078936,0.017297087909437403,0.042713672123562335
93281,month,2019-03,23,74877560.0,0.030716812887599438,0.0194718244518714,0.046090301146075055
93281,month,2019-04,0,75071007.0,0.0,0.0,0.0049138536986908085
93281,month,2019-05,17,74812854.0,0.022723367831950378,0.013237199144424158,0.03638231314622299
93281,month,2019-06,19,74215582.0,0.025601092773213045,0.015413530226532116,0.03997927762876748
93281,month,2019-07,0,74488451.0,0.0,0.0,0.004952283749482098
93281,month,2019-08,17,75037460.0,0.02265535107398358,0.01319757687641252,0.036273411727831155
93281,month,2019-09,16,75625105.0,0.021156995418386525,0.01209305091694289,0.03435763507047155
93281,month,2019-10,17,75011359.0,0.022663234244296254,0.01320216911362357,0.03628603344715647
93281,month,2019-11,21,74622336.0,0.028141708134143642,0.017420160880619158,0.04301759024931008
93281,month,2019-12,13,74254894.0,0.01750726356164484,0.00932188050932212,0.02993795387837854
93281,month,2020-01,13,74732556.0,0.01739536380904729,0.009262298603842483,0.02974660189350258
93281,month,2020-02,20,74443888.0,0.02686587245416306,0.01641037285076237,0.04149216105246222
93281,month,2020-06,18,78055480.0,0.023060520542567926,0.01366712597296119,0.03644556444663204
93281,month,2020-07,0,79309251.0,0.0,0.0,0.004651259982412311
93281,month,2020-08,14,80202982.0,0.01745571006324927,0.009543199124816323,0.029287715414166988
93281,month,2020-09,23,80938780.0,0.028416539018749725,0.018013648138808958,0.04263876091884883
93281,month,2020-10,0,83848958.0,0.0,0.0,0.004399433865491728
93281,month,2020-11,0,85021129.0,0.0,0.0,0.004338779662775279
93281,month,2020-12,18,83327207.0,0.021601588062347993,0.012802470122872984,0.03413982214419833
93281,month,2021-01,16,84904129.0,0.018844784333162407,0.010771422498947636,0.030602749128444545
93281,month,2021-02,19,85397214.0,0.02224896938675306,0.01339533297229899,0.0347445217259495
93281,month,2021-03,27,85910366.0,0.031428104962327834,0.02071131920420962,0.04572624268084498
