HCPCS_CODE,Description,B0_const_2021-01,B1_time_2021-01,B2_level_2021-01,B3_slope_2021-01,p_const_2021-01,p_time_2021-01,p_level_2021-01,p_slope_2021-01,R_squared_2021-01,BIC_2021-01,B0_const_2020-06,B1_time_2020-06,B2_level_2020-06,B3_slope_2020-06,p_const_2020-06,p_time_2020-06,p_level_2020-06,p_slope_2020-06,R_squared_2020-06,BIC_2020-06,B0_const_2021-03,B1_time_2021-03,B2_level_2021-03,B3_slope_2021-03,p_const_2021-03,p_time_2021-03,p_level_2021-03,p_slope_2021-03,R_squared_2021-03,BIC_2021-03,Max R^2,Highest R^2,Max BIC,Highest BIC
11102,"Tangential skin biopsy, single lesion",8086.5467,-45.1961,3569.0737,78.2795,5.90E-45,0.4298,0.0038,0.2128,0.4634,1206.54,9387.451,-258.9167,3923.2106,327.2826,2.57E-18,0.0643,0.0105,0.0219,0.4801,1204.4537,7951.1368,-27.8171,3980.7906,40.2622,2.02E-47,0.4866,5.95E-05,0.3921,0.4944,1202.6045,0.4944,Mar 2021,1206.54,Jan 2021
11103,"Tangential skin biopsy, each additional lesion",821.77,-2.5017,347.144,5.728,2.65E-24,0.6637,0.0059,0.3892,0.3768,929.4681,892.1569,-14.1373,280.6132,21.4816,1.76E-13,0.3824,0.1328,0.1938,0.3447,932.7765,816.1368,-1.7925,412.9637,2.5418,3.78E-25,0.6848,0.0001,0.6396,0.4144,925.3566,0.4144,Mar 2021,932.7765,Jun 2020
11104,"Punch skin biopsy, single lesion",1314.7167,-14.0478,215.1557,13.5224,4.64E-111,0.0243,0.1573,0.0529,0.0616,929.1941,1441.3725,-34.3186,270.7714,35.1845,3.78E-56,0.0445,0.1938,0.0425,0.1184,925.076,1295.9487,-11.6236,218.2141,10.4359,5.17E-104,0.0096,0.1266,0.0802,0.0583,929.4255,0.1184,Jun 2020,929.4255,Mar 2021
11105,"Punch skin biopsy, each additional lesion",333.4267,-3.8052,-116.4189,3.2809,3.65E-22,0.0867,0.0017,0.1545,0.6614,744.9556,293.7451,3.0098,-162.4147,-4.8717,8.04E-18,0.5564,0.0075,0.3444,0.664,744.4599,345.0513,-5.2872,-89.1064,4.9376,6.69E-21,0.0134,0.0213,0.0247,0.6467,747.7592,0.664,Jun 2020,747.7592,Mar 2021
11106,"Incisional skin biopsy, single lesion",183.9667,10.0174,76.7135,-13.7587,1.18E-17,5.02E-08,0.2867,3.99E-05,0.224,859.4962,210.1961,5.1152,181.1368,-7.5867,5.46E-22,0.0208,0.0002,0.0102,0.2258,859.3418,198.6581,8.1566,116.2927,-13.2098,2.71E-21,2.63E-05,0.1349,0.0003,0.252,857.0683,0.252,Mar 2021,859.4962,Jan 2021
11107,"Incisional skin biopsy, each additional lesion",51.0467,-0.9135,77.2398,-0.1714,7.79E-08,0.1636,0.0105,0.8928,0.1582,732.1092,51.3922,-0.8137,34.2907,0.957,1.73E-06,0.5685,0.1853,0.5624,0.0551,739.7353,52.547,-1.1053,98.9432,-0.678,4.27E-08,0.0489,0.0015,0.5972,0.239,725.4466,0.239,Mar 2021,739.7353,Jun 2020
23500,Closed treatment of clavicular fracture; without manipulation,13.9234,-0.2671,10.8346,1.0087,0.0014,0.159,0.104,0.001,0.45,654.3413,10.6,0.0631,-8.9216,0.8743,0.0366,0.8309,0.1648,0.0105,0.4429,655.3491,13.7287,-0.2513,14.7132,0.909,0.0012,0.139,0.0333,0.0034,0.4587,653.1025,0.4587,Mar 2021,655.3491,Jun 2020
25600,Closed treatment of distal radius fracture; without manipulation,611.8709,-5.5894,269.8666,6.5136,5.19E-12,0.1308,0.0493,0.3038,0.121,1117.6933,579.531,-2.6266,28.047,7.7281,1.90E-09,0.6762,0.8509,0.2848,0.0758,1121.6097,631.7935,-7.2776,430.1047,4.3019,1.98E-12,0.0398,0.0002,0.4503,0.1958,1110.7527,0.1958,Mar 2021,1121.6097,Jun 2020
25605,Closed treatment of a distal radial fracture with manipulation ,61.8889,-0.1905,69.8672,-0.2201,0.0002,0.7943,0.0216,0.8698,0.1922,876.2445,60.0966,-0.098,36.2835,0.6694,0.0012,0.9298,0.2304,0.6224,0.1383,881.2795,64.9757,-0.451,97.6395,-0.7661,0.0001,0.5054,0.0002,0.527,0.2617,869.2277,0.2617,Mar 2021,881.2795,Jun 2020
27447,Total knee replacement (arthroplasty),54.1742,0.1297,98.9264,5.9866,1.03E-07,0.8294,0.001,4.55E-05,0.7576,906.9895,70.2897,-1.4788,58.38,8.3867,1.72E-13,0.0147,0.0114,2.96E-12,0.7563,907.4077,52.7692,0.2486,127.5285,5.1369,4.04E-08,0.6222,5.68E-06,0.0004,0.7697,902.9689,0.7697,Mar 2021,907.4077,Jun 2020
27786,Closed treatment of distal fibular fracture; without manipulation,67.7087,-1.2802,16.0604,2.087,4.02E-07,0.0278,0.2594,0.0035,0.1455,774.2841,55.8552,-0.1251,-32.992,1.332,3.83E-05,0.8741,0.0271,0.1164,0.1678,772.2174,67.8057,-1.2882,24.6929,1.9365,1.41E-07,0.0116,0.0759,0.0042,0.1569,773.2393,0.1678,Jun 2020,774.2841,Jan 2021
28470,Closed treatment of metatarsal fracture; without manipulation,26.3679,0.0568,7.9174,0.9107,7.51E-05,0.8817,0.4769,0.0776,0.3556,728.3736,20.5517,0.5961,-13.5985,0.535,0.0112,0.3626,0.3317,0.4511,0.3558,728.3461,27.4453,-0.034,16.3907,0.8388,1.64E-05,0.9146,0.1083,0.0741,0.3686,726.7817,0.3686,Mar 2021,728.3736,Jan 2021
29826,Arthroscopic shoulder surgical procedure for subacromial decompression,13.0405,0.8977,29.5533,-2.4675,0.1088,0.0793,0.1273,0.0006,0.2109,777.8101,21.5724,0.0404,50.6103,-1.2717,0.002,0.9208,0.0008,0.0245,0.2263,776.267,6.1377,1.4819,-0.3215,-2.6707,0.5073,0.0092,0.9869,0.001,0.1787,780.9311,0.2263,Jun 2020,780.9311,Mar 2021
29827,Arthroscopic shoulder rotator cuff repair,2.1517,0.6644,4.5078,-1.0899,0.7183,0.034,0.6993,0.02,0.1076,706.4438,8.1103,0.0709,23.7836,-0.5249,0.1608,0.8305,0.004,0.1983,0.1514,702.5212,1.7773,0.6948,1.4603,-1.1166,0.7536,0.0097,0.9015,0.0247,0.1077,706.4374,0.1514,Jun 2020,706.4438,Jan 2021
62270,lumbar puncture,404.7943,-9.9279,0.8121,8.6728,1.91E-25,4.73E-09,0.9789,3.88E-07,0.8048,878.1308,393.9379,-8.8084,-77.6682,7.4744,2.46E-18,0.0037,0.1265,0.0142,0.8103,875.8969,404.7126,-9.9219,20.8275,8.5618,2.74E-27,2.52E-11,0.4448,1.21E-08,0.8051,878.0361,0.8103,Jun 2020,878.1308,Jan 2021
71250,CT Chest,24973.3949,231.2743,4537.4915,7.2956,3.42E-234,0.0003,0.0449,0.93,0.7388,1546.3102,26055.6483,122.9759,5046.548,155.6621,1.20E-90,0.3607,0.0742,0.267,0.7428,1545.0834,24970.3563,231.7788,5465.6184,-27.7318,3.52E-285,6.69E-06,0.0126,0.713,0.7471,1543.7751,0.7471,Mar 2021,1546.3102,Jan 2021
71260,CT Chest,38674.5991,269.9896,8777.926,-253.6881,6.70E-254,0.0032,0.005,0.031,0.6267,1583.2012,41144.9379,22.6892,12217.9594,74.179,1.17E-219,0.8639,9.21E-05,0.6081,0.6523,1577.6547,38425.0891,291.5955,8878.4016,-318.249,8.49E-283,0.0001,0.0028,0.0029,0.6359,1581.2458,0.6523,Jun 2020,1583.2012,Jan 2021
75561,cardiovascular magnetic resonance imaging,100.5661,2.1311,97.4803,3.2468,8.19E-09,0.0742,0.0153,0.0735,0.7307,925.6011,132.7034,-0.9567,106.445,7.0009,1.87E-11,0.4785,0.0007,6.70E-05,0.7485,920.2671,97.4737,2.3912,112.2334,2.4354,1.07E-09,0.0144,0.002,0.1741,0.7359,924.082,0.7485,Jun 2020,925.6011,Jan 2021
75565,Cardiac MRI,127.8904,-0.0731,43.8424,3.5966,4.41E-17,0.9365,0.1728,0.0037,0.5441,880.4308,145.7931,-1.7906,44.4596,5.4465,2.25E-13,0.2113,0.1531,0.0004,0.5646,876.8469,125.8502,0.0977,52.719,3.203,7.33E-19,0.8964,0.0888,0.0116,0.5458,880.1404,0.5646,Jun 2020,880.4308,Jan 2021
75574,Cardiac CTA,284.5691,12.723,103.5706,41.2031,1.87E-23,1.04E-05,0.3688,3.18E-18,0.925,1101.7628,325.7241,8.766,-72.8561,43.9177,2.64E-09,0.1435,0.5859,2.39E-11,0.9256,1101.1113,282.5709,12.8966,211.4435,39.9186,3.39E-31,9.96E-09,0.0618,1.54E-17,0.9257,1100.9422,0.9257,Mar 2021,1101.7628,Jan 2021
76700,abdominal ultrasound,59961.1937,-297.9825,15633.4527,267.4433,4.94E-206,0.1056,0.006,0.1976,0.2794,1650.711,62740.2621,-567.5729,12933.7615,699.7263,5.91E-67,0.1244,0.0818,0.0694,0.2641,1652.3513,59568.004,-264.6716,17822.5308,141.2699,1.17E-284,0.0677,0.0003,0.4049,0.3187,1646.333,0.3187,Mar 2021,1652.3513,Jun 2020
80061,"Lipid Panel (Total, HDL, Triglycerides, and calculated LDL)",989988.7943,2353.2292,303788.7279,2200.6735,2.35E-185,0.471,0.0023,0.5619,0.6637,2108.3337,1059808.462,-4562.4172,316524.1646,11884.4105,4.75E-85,0.4286,0.0088,0.0504,0.6762,2105.3789,972953.5425,3793.8882,298244.9413,-220.7465,4.86E-215,0.1603,0.0011,0.9498,0.661,2108.9617,0.6762,Jun 2020,2108.9617,Mar 2021
81240,Prothrombin gene mutation,1581.4895,-22.074,428.7394,16.9092,1.84E-272,3.22E-15,1.19E-06,2.33E-06,0.5032,1035.236,1592.1448,-22.8872,126.2654,23.4285,3.38E-158,9.64E-06,0.2877,7.25E-05,0.3889,1051.3917,1562.0567,-20.4327,473.436,13.3236,1.39E-287,1.85E-15,4.12E-09,6.23E-05,0.5214,1032.3303,0.5214,Mar 2021,1051.3917,Jun 2020
