CLAIM_FROM_MONTH,HCPCS_CODE,TOTAL_UNIQUE_BENEFICIARIES,TOTAL_CLAIMS,TOTAL_PAID
2024-01,99214,21.0,23.0,824.5
2024-09,93325,33.0,33.0,76.56
2024-01,3078F,18.0,22.0,20.0
2024-06,92015,16.0,16.0,277.44
2022-08,99214,13.0,13.0,127.32
2023-08,84443,49.0,55.0,0.0
2018-01,96372,50.0,54.0,463.16
2022-09,99233,13.0,27.0,991.12
2021-12,82565,17.0,20.0,0.0
2019-12,S0620,13.0,13.0,518.65
2019-01,83970,12.0,19.0,5.71
2024-06,96127,18.0,18.0,64.44
2020-10,D2392,28.0,28.0,2768.64
2023-05,99214,311.0,429.0,25781.59
2018-11,86703,82.0,161.0,682.02
2022-09,A7031,23.0,41.0,807.04
2018-02,71046,31.0,33.0,251.49
2022-02,97110,12.0,28.0,616.0
2021-09,J2405,111.0,122.0,39.43
2019-03,80366,32.0,50.0,351.93
2019-01,4035F,14.0,15.0,0.0
2023-03,D0210,13.0,15.0,362.24
2018-02,97535,16.0,19.0,363.98
2023-11,99215,16.0,16.0,1352.35
2022-10,00920,20.0,22.0,3090.04
2024-01,74177,17.0,19.0,966.17
2024-07,T4534,125.0,127.0,21406.68
2018-04,85004,17.0,20.0,4.86
2019-07,J1050,20.0,20.0,270.0
2020-09,H0046,12.0,192.0,21912.0
2020-07,80305,25.0,26.0,201.12
2021-03,87086,117.0,124.0,74.09
2023-01,83036,18.0,19.0,126.23
2019-02,93017,65.0,68.0,4384.8
2021-04,D0330,32.0,34.0,0.0
2024-07,97530,51.0,184.0,17560.06
2023-08,99213,30.0,33.0,1536.55
2022-11,59425,65.0,66.0,0.0
2020-03,20610,12.0,14.0,190.25
2024-01,1125F,17.0,18.0,0.0
2022-02,92523,25.0,26.0,1470.44
2023-08,86580,16.0,23.0,92.14
2023-03,D0120,21.0,21.0,1770.0
2023-04,99310,19.0,62.0,513.64
2019-07,A7038,62.0,77.0,141.76
2021-04,86703,69.0,72.0,778.72
2019-10,93000,25.0,25.0,301.1
2020-05,D0140,18.0,20.0,296.64
2021-02,D0150,26.0,30.0,1240.48
2021-05,D0220,13.0,18.0,15.0
2019-03,92507,24.0,63.0,7717.35
2023-10,77063,17.0,17.0,349.84
2023-11,99283,23.0,30.0,844.41
2019-08,83970,18.0,25.0,805.13
2023-10,83605,15.0,25.0,135.53
2021-11,92015,23.0,29.0,167.69
2024-05,D0272,20.0,20.0,387.0
2019-06,99232,22.0,41.0,3586.44
2024-11,85610,15.0,16.0,0.0
2024-02,1000F,26.0,30.0,0.0
2019-01,99213,86.0,96.0,0.0
2024-01,82962,14.0,16.0,35.86
2018-08,93005,29.0,37.0,0.0
2023-11,B4160,16.0,17.0,4227.72
2021-08,73030,18.0,18.0,98.86
2019-07,92567,26.0,26.0,942.86
2019-04,70450,14.0,15.0,439.28
2019-11,99213,48.0,50.0,1718.75
2022-12,99285,17.0,18.0,1909.82
2023-03,99213,14.0,14.0,554.05
2018-12,D1208,27.0,27.0,378.0
2018-07,99285,14.0,14.0,2759.63
2020-07,G0463,743.0,1193.0,9375.82
2018-05,80050,17.0,18.0,911.14
2022-09,92014,25.0,25.0,1952.85
2021-10,90686,72.0,75.0,0.0
2021-08,90461,13.0,19.0,132.35
2023-08,99316,18.0,18.0,182.52
2018-06,D1120,57.0,57.0,0.0
2024-03,V2020,37.0,38.0,1457.23
2022-04,D0220,26.0,26.0,381.94
2022-08,D0220,13.0,14.0,146.58
2022-07,96375,13.0,18.0,0.0
