HCPCS_CODE,Description,B0_const_Jan2021,B1_time_Jan2021,B2_level_Jan2021,B3_slope_Jan2021,p_const_Jan2021,p_time_Jan2021,p_level_Jan2021,p_slope_Jan2021,R_squared_Jan2021,BIC_Jan2021,B0_const_Jun2020,B1_time_Jun2020,B2_level_Jun2020,B3_slope_Jun2020,p_const_Jun2020,p_time_Jun2020,p_level_Jun2020,p_slope_Jun2020,R_squared_Jun2020,BIC_Jun2020,B0_const_Mar2021,B1_time_Mar2021,B2_level_Mar2021,B3_slope_Mar2021,p_const_Mar2021,p_time_Mar2021,p_level_Mar2021,p_slope_Mar2021,R_squared_Mar2021,BIC_Mar2021,N_obs,BIC_min,Best_Intervention_BIC,R_squared_max,Best_Intervention_R_squared,Agreement
11102,"Tangential skin biopsy, single lesion",8174.3942,4.9512,2327.8391,28.1323,8.77E-64,0.8807,0.0017,0.5152,0.4342,1133.2522,8027.3143,35.1055,578.9927,33.2604,1.62E-55,0.6598,0.6036,0.6900,0.3719,1139.8371,8206.2825,0.5268,3017.0476,11.9183,7.94E-68,0.9844,4.47E-06,0.7400,0.4854,1127.2816,63,1127.2816,Mar2021,0.4854,Mar2021,Agree
11103,"Tangential skin biopsy, each additional lesion",829.4596,2.2396,230.4035,0.9866,2.62E-26,0.6286,0.0158,0.8657,0.3257,878.7108,724.7429,21.9956,-130.0985,-14.6512,7.71E-51,0.0207,0.3767,0.1411,0.2893,882.0228,839.1834,0.8564,323.6960,-0.1070,8.20E-27,0.8353,0.0003,0.9834,0.3736,874.0698,63,874.0698,Mar2021,0.3736,Mar2021,Agree
11104,"Punch skin biopsy, single lesion",1324.6106,-8.4105,75.6030,7.8851,1.22E-130,0.0177,0.4763,0.0972,0.0324,872.8529,1269.3429,2.8923,-152.5739,-2.0264,2.60E-60,0.8205,0.3581,0.8744,0.0413,872.2720,1324.8502,-8.4163,109.1295,7.2286,1.13E-133,0.0029,0.3443,0.1202,0.0385,872.4544,63,872.2720,Jun2020,0.0413,Jun2020,Agree
11105,"Punch skin biopsy, each additional lesion",333.8231,-3.4168,-125.7485,2.8925,1.09E-21,0.1416,0.0018,0.2282,0.6615,713.3684,243.3143,13.9077,-286.3501,-15.7696,5.03E-21,2.93E-05,3.88E-11,3.08E-06,0.7461,695.2542,346.0565,-5.1332,-93.9608,4.7837,3.46E-20,0.0191,0.0214,0.0327,0.6432,716.6720,63,695.2542,Jun2020,0.7461,Jun2020,Agree
11106,"Incisional skin biopsy, single lesion",184.1221,10.6772,61.3821,-14.4185,3.60E-17,7.39E-09,0.3925,1.87E-05,0.2203,823.2058,205.0571,6.0571,171.2046,-8.5287,5.39E-19,0.0192,0.0008,0.0077,0.2161,823.5463,200.0553,8.4562,107.4058,-13.5094,8.09E-21,3.82E-05,0.1723,0.0003,0.2460,821.0995,63,821.0995,Mar2021,0.2460,Mar2021,Agree
11107,"Incisional skin biopsy, each additional lesion",51.7046,-0.6528,70.5862,-0.4320,3.02E-08,0.3122,0.0188,0.7350,0.1317,701.5541,37.9714,2.1253,0.6874,-1.9820,1.31E-06,0.1127,0.9777,0.2237,0.0346,708.2350,53.9848,-0.9737,94.2167,-0.8096,3.00E-08,0.0911,0.0025,0.5322,0.2148,695.2159,57,695.2159,Mar2021,0.2148,Mar2021,Agree
23500,Closed treatment of clavicular fracture; without manipulation,14.1141,-0.2983,11.7375,1.0400,0.0011,0.1197,0.0833,0.0007,0.4471,631.6581,10.0855,0.1224,-10.0686,0.8150,0.0704,0.7512,0.2086,0.0528,0.4389,632.7691,13.8212,-0.2729,15.4183,0.9306,0.0010,0.1085,0.0271,0.0027,0.4557,630.4846,53,630.4846,Mar2021,0.4557,Mar2021,Agree
25600,Closed treatment of distal radius fracture; without manipulation,601.4058,-3.9552,223.1322,4.8793,8.35E-12,0.3081,0.1109,0.4523,0.0915,1076.0480,518.8632,4.3648,-107.0441,0.7367,4.66E-08,0.5412,0.5215,0.9265,0.0635,1078.3237,626.8075,-6.2335,396.4605,3.2578,2.84E-12,0.0941,0.0011,0.5767,0.1658,1069.6505,75,1069.6505,Mar2021,0.1658,Mar2021,Agree
25605,Closed treatment of a distal radial fracture with manipulation ,59.8423,0.1370,60.4527,-0.5476,0.0004,0.8608,0.0517,0.6917,0.1698,844.3235,50.2222,1.0438,14.1877,-0.4724,0.0069,0.4181,0.6694,0.7543,0.1188,848.8003,63.9979,-0.2346,90.6096,-0.9826,0.0001,0.7450,0.0008,0.4278,0.2394,837.7575,72,837.7575,Mar2021,0.2394,Mar2021,Agree
27447,Total knee replacement (arthroplasty),51.3632,0.5774,86.0676,5.5389,4.38E-07,0.2461,0.0024,0.0001,0.7489,873.7999,64.0684,-0.7624,44.5414,7.6703,2.82E-10,0.1951,0.0481,1.10E-10,0.7434,875.4433,51.2138,0.5909,116.4204,4.7947,1.03E-07,0.1605,1.38E-05,0.0008,0.7621,869.7680,75,869.7680,Mar2021,0.7621,Mar2021,Agree
