HCPCS_CODE,Description,B0_const_Jan2021,B1_time_Jan2021,B2_level_Jan2021,B3_slope_Jan2021,p_const_Jan2021,p_time_Jan2021,p_level_Jan2021,p_slope_Jan2021,R_squared_Jan2021,BIC_Jan2021,B0_const_Jun2020,B1_time_Jun2020,B2_level_Jun2020,B3_slope_Jun2020,p_const_Jun2020,p_time_Jun2020,p_level_Jun2020,p_slope_Jun2020,R_squared_Jun2020,BIC_Jun2020,B0_const_Mar2021,B1_time_Mar2021,B2_level_Mar2021,B3_slope_Mar2021,p_const_Mar2021,p_time_Mar2021,p_level_Mar2021,p_slope_Mar2021,R_squared_Mar2021,BIC_Mar2021,N_obs,BIC_min,Best_Intervention_BIC,R_squared_max,Best_Intervention_R_squared,Agreement
93660,Tilt table test (with continuous monitoring),78.1437,-1.1471,-35.3319,2.2612,1.32e-09,0.0585,0.0108,0.001,0.3641,725.7328,57.9573,0.948,-79.1578,-0.1398,2.94e-09,0.159,1.34e-08,0.8455,0.4689,712.2323,81.6424,-1.4606,-21.793,2.5407,5.58e-10,0.0097,0.1397,0.0001,0.3411,728.3967,59,712.2323,Jun-20,0.4689,Jun-20,Agree
94761,"Pulse oximetry (spot / overnight, sometimes used adjunctively)",20098.8917,-210.6674,1701.7499,213.2546,1.2099999999999998e-250,8.83e-09,0.1504,4.62e-06,0.515,1349.516,18881.2222,-80.1039,-3609.7254,123.0511,1.1700000000000001e-130,0.1224,0.0005,0.0358,0.5752,1339.5794,20140.2272,-214.2346,2723.9895,198.0561,3.1199999999999997e-280,2.35e-13,0.0098,9.12e-07,0.5454,1344.6583,75,1339.5794,Jun-20,0.5752,Jun-20,Agree
94762,"Pulse oximetry (spot / overnight, sometimes used adjunctively)",4200.0129,-31.0245,-145.0118,34.4485,1.42e-51,0.0897,0.765,0.0855,0.2519,1204.7551,3340.0769,58.3815,-2393.7294,-44.4407,4.53e-87,1.15e-05,3.39e-16,0.0032,0.6564,1146.405,4276.9729,-37.9277,252.038,35.7736,6.08e-54,0.01,0.5413,0.0249,0.2567,1204.276,75,1146.405,Jun-20,0.6564,Jun-20,Agree
93040,"Rhythm ECG (limited, interpretation dependent)",3378.0741,-6.7494,41.254,10.6618,4.61e-163,0.3317,0.8344,0.2398,0.0177,1142.1378,3474.7436,-16.6226,191.5581,19.2433,5.77e-141,0.0764,0.3392,0.0662,0.0323,1141.012,3390.3871,-7.8289,127.0575,10.3763,3.78e-187,0.1795,0.5258,0.23,0.0216,1141.8356,75,1141.012,Jun-20,0.0323,Jun-20,Agree
93041,"Rhythm ECG (limited, interpretation dependent)",13549.3843,14.3266,1718.0095,-176.1159,2.7500000000000003e-177,0.4997,0.0021,1.58e-10,0.7393,1263.0239,13848.0855,-17.8991,2593.2794,-116.07,1.0600000000000001e-173,0.513,3.8e-06,0.0002,0.706,1272.0564,13607.4717,9.2114,1923.8296,-186.8772,7.54e-201,0.6245,4.42e-05,2.36e-15,0.7729,1252.6708,75,1252.6708,Mar-21,0.7729,Mar-21,Agree
93042,"Rhythm ECG (limited, interpretation dependent)",8585.1827,49.4189,1725.3211,-111.9039,5.17e-279,2.1e-06,0.0007,1.55e-08,0.4743,1261.6084,8338.641,75.3426,801.4126,-102.1333,2.97e-155,0.0001,0.1732,5.76e-05,0.3284,1279.9776,8594.4131,48.7163,1856.5106,-123.7627,6.72e-288,5.59e-07,1.78e-05,4.68e-12,0.5199,1254.8033,75,1254.8033,Mar-21,0.5199,Mar-21,Agree
95816,EEG (if syncope vs seizure differentiation is needed),7879.579,16.9106,1344.6899,42.0055,4.88e-167,0.1671,0.0066,0.0496,0.6302,1292.054,7569.6154,49.5692,-376.1993,33.1921,5.67e-130,0.0093,0.4661,0.1723,0.6071,1296.5998,7882.1254,16.7212,1732.7964,31.0467,1.28e-175,0.1106,0.0006,0.1352,0.6474,1288.4714,75,1288.4714,Mar-21,0.6474,Mar-21,Agree
88305,"Surgical pathology, gross and microscopic examination (nerve biopsy)",355783.7094,1140.1486,51304.9985,-1299.955,0.0,0.0053,0.0034,0.0814,0.4448,1816.5701,349851.6239,1781.9439,15355.5327,-981.1347,0.0,0.0087,0.4571,0.2666,0.3774,1825.1528,356434.5684,1081.3426,62146.3934,-1685.2299,0.0,0.0016,0.0002,0.0137,0.4815,1811.4309,75,1811.4309,Mar-21,0.4815,Mar-21,Agree
95923,Sudomotor function (QSART),4688.2264,-43.2176,1052.9755,33.1306,6.1e-97,1.25e-06,3.19e-06,0.0034,0.2611,1170.211,4719.5385,-46.4892,408.5222,50.0698,2.17e-76,0.0023,0.207,0.0022,0.1464,1181.0334,4642.0761,-39.0686,1142.5425,24.1195,1.6599999999999997e-95,3.46e-06,4.07e-07,0.0301,0.2815,1168.1086,75,1168.1086,Mar-21,0.2815,Mar-21,Agree
93224,Holter monitor (24-48 hr ECG),3312.9835,-2.1538,413.6714,22.7913,6.82e-109,0.7581,0.0785,0.0205,0.415,1171.3301,3240.5128,5.8205,-131.6402,21.6648,7.030000000000001e-88,0.6435,0.654,0.1159,0.402,1172.9768,3330.6359,-3.7432,634.5386,19.3821,1.48e-113,0.5328,0.0042,0.032,0.4405,1167.9982,75,1167.9982,Mar-21,0.4405,Mar-21,Agree
