CLAIM_FROM_MONTH,rows,TOTAL_UNIQUE_BENEFICIARIES_sum,TOTAL_CLAIMS_sum,TOTAL_PAID_sum
2018-01,2342528,113342897.0,187217689.0,9232048522.370003
2018-02,2182404,104351414.0,171352502.0,8420467832.360065
2018-03,2298849,110825567.0,183682093.0,9129935988.660017
2018-04,2245770,107694834.0,179619696.0,8981173692.469955
2018-05,2288006,110182879.0,185076176.0,9384689427.049759
2018-06,2116362,100094343.0,164850507.0,8607149265.449963
2018-07,2171413,102373426.0,169724543.0,8854594623.629906
2018-08,2374680,113633755.0,186434915.0,9492334835.449705
2018-09,2147486,100688468.0,168487953.0,8661621043.369932
2018-10,2460411,118334299.0,198197925.0,9921379666.379807
2018-11,2175749,102742360.0,173605775.0,9072923512.379795
2018-12,2058597,96922801.0,166190908.0,8907431063.81971
2019-01,2457252,119769828.0,202463697.0,10529905105.899847
2019-02,2312963,111443392.0,187149977.0,9680573063.789774
2019-03,2462258,120287086.0,202656457.0,10638499933.19977
2019-04,2480132,120056910.0,204034522.0,10662800690.749695
2019-05,2453610,118335223.0,203400802.0,10788430160.41974
2019-06,2251062,106684985.0,179172702.0,9722889154.489742
2019-07,2390448,114502037.0,193812066.0,10364775003.789803
2019-08,2506157,120864691.0,202465238.0,10628704037.169722
2019-09,2470440,118468405.0,201493119.0,10530148010.349798
2019-10,2747427,135188555.0,229836010.0,11890862793.229546
2019-11,2413189,116101805.0,197813102.0,10694811682.099697
2019-12,2368169,114234300.0,195213165.0,10773796446.439837
2020-01,2761085,137689829.0,231493965.0,12417328718.269701
2020-02,2553498,125598414.0,210768595.0,11387443071.259596
2020-03,2113882,99482797.0,175476623.0,10327180044.759914
2020-04,1329084,61588397.0,126498275.0,8541553016.110037
2020-05,1693551,78755754.0,146927456.0,9276309404.629904
2020-06,2196135,106053452.0,180029356.0,10386347586.829865
2020-07,2334466,114313859.0,193266077.0,11043497587.589867
2020-08,2370154,115506523.0,193099010.0,10945591115.49973
2020-09,2521238,123211041.0,204909864.0,11345841778.779696
2020-10,2691074,132414607.0,220267867.0,12256768912.529808
2020-11,2538710,122921505.0,207113269.0,11824939391.279842
2020-12,2558726,124912560.0,214312315.0,12337430898.159853
2021-01,2671702,132228710.0,222768005.0,12594444977.409725
2021-02,2549948,124043876.0,206952736.0,11715579066.729588
2021-03,3089715,156505580.0,258070549.0,14136311330.64985
2021-04,2975647,149825892.0,245380331.0,13565862878.509722
2021-05,2851134,140839982.0,232574191.0,13208518113.689638
2021-06,2962741,146382446.0,237429997.0,13415399746.46976
2021-07,2910088,145916059.0,238882520.0,13562082770.469984
2021-08,3098513,160167062.0,256226837.0,14202719417.499525
2021-09,3048066,157555104.0,255309350.0,14024666614.739796
2021-10,3073760,156923616.0,255714420.0,14165659978.039719
2021-11,3013706,152067680.0,248630420.0,13904172445.349682
2021-12,2931660,150467545.0,246625408.0,14062529938.429682
2022-01,2942389,154227930.0,251898388.0,14412456539.879757
2022-02,2833787,142007832.0,235438630.0,13250746218.49987
2022-03,3285853,168967395.0,280314489.0,15695994584.590038
2022-04,3020559,152489004.0,254562730.0,14609179171.899796
2022-05,3034273,153619367.0,257888000.0,14956401093.080126
2022-06,3003166,151557080.0,250499963.0,14650484215.679886
2022-07,2824373,140813991.0,234428626.0,14067993433.619766
2022-08,3285367,168047334.0,273676256.0,15825029409.540358
2022-09,3164300,160193966.0,263892615.0,15268172192.710152
2022-10,3248767,165023707.0,269996140.0,15854981611.140038
2022-11,3178406,161598929.0,263677624.0,15675981809.009668
2022-12,2989403,151497788.0,251420641.0,15297538611.300112
2023-01,3255152,169068899.0,280827661.0,16594310221.53009
2023-02,3083352,159161069.0,259922326.0,15394753399.569946
2023-03,3432212,181503538.0,298461892.0,17668427237.49991
2023-04,3125956,160074705.0,265379484.0,16091892914.070004
2023-05,3355060,173088160.0,287129748.0,17280277362.919964
2023-06,3151268,159831609.0,261269038.0,16029192012.869928
2023-07,2974833,149350862.0,246824756.0,15725897305.959942
2023-08,3365256,172191912.0,279910801.0,17348504365.579834
2023-09,3123826,157552161.0,259464154.0,16361790144.499966
2023-10,3297215,167534255.0,276564708.0,17484140655.94977
2023-11,3112792,156863590.0,259356081.0,16663518408.740294
2023-12,2901483,146156238.0,243448023.0,16152279164.090076
2024-01,3184299,162984803.0,272010590.0,17783239324.27011
2024-02,3137147,160469214.0,266795878.0,17169976799.299788
2024-03,3098837,158793817.0,264969435.0,17501161887.450012
2024-04,3130369,160628916.0,267197354.0,17396698624.100174
2024-05,3071254,157025310.0,262777836.0,17580257320.490154
2024-06,2732723,137979972.0,228543520.0,15770419278.259825
2024-07,2859732,146362442.0,242983356.0,16423060106.689964
2024-08,2955609,152243897.0,246659583.0,16347006139.249813
2024-09,2819499,143311522.0,233168618.0,15626350800.429745
2024-10,2936601,150107391.0,244177082.0,16310402111.529594
2024-11,2274979,112295024.0,183954822.0,12874830358.749775
2024-12,879619,40837668.0,63394189.0,4199364318.9499984
