HCPCS_CODE,rows,TOTAL_UNIQUE_BENEFICIARIES_sum,TOTAL_CLAIMS_sum,TOTAL_PAID_sum
T1019,457916,55702849.0,1100608370.0,122739547514.25948
T1015,2429393,235393614.0,322233922.0,49152668633.450584
T2016,81288,4389789.0,69000080.0,34904936746.48021
99213,13566914,639378224.0,764306590.0,33002827263.84592
S5125,214380,19413061.0,398071209.0,31342185586.040043
99214,11728025,432874138.0,502480931.0,29913857937.71099
99284,3980198,154899942.0,170705529.0,20151783534.429134
H2016,72289,4214296.0,60739036.0,19747791724.79001
99283,3270001,144272501.0,157926994.0,16874996865.609827
H2015,272463,20834363.0,109877296.0,16470573872.769913
99285,2901462,99843804.0,111002396.0,15097200452.299969
90837,1869501,56881182.0,127195989.0,12067590643.090343
S5102,96905,7491536.0,111095812.0,9340779714.299995
90834,1212542,54295935.0,108817687.0,8821622005.819923
T2021,110852,5412523.0,55550230.0,8653524974.890001
H2017,292828,13916632.0,78677933.0,8540416258.810069
T1017,283832,30016959.0,75144121.0,8423668162.810029
T1020,39648,5227037.0,33504642.0,8212560786.120002
90999,250573,6946377.0,90103258.0,7739248802.629996
A0427,293550,27655270.0,33489615.0,7674558268.409982
92507,945764,35866850.0,129458330.0,7484161290.330048
H2019,481861,18763291.0,69547577.0,7466162701.299909
T2033,25005,1259038.0,16562508.0,7422419481.580016
T1000,22131,764197.0,16800136.0,7014566028.82
H2014,131724,9274835.0,60726091.0,6759118318.499988
H0004,556970,27839525.0,73272784.0,6554190803.840037
S5140,17873,1901945.0,40883741.0,6394345181.390007
H0020,125637,22496570.0,312323784.0,6253632954.990006
97530,1089807,35441947.0,126200638.0,6219314705.239945
A0429,286605,25244819.0,31005479.0,6056979386.160049
H0019,39457,1373348.0,20357508.0,5981904018.440003
T1040,45260,9248813.0,30095351.0,5780366099.559995
99509,82187,5258026.0,79677945.0,5574554313.579986
00003,147866,14346885.0,20180301.0,5330165952.5399885
T2023,72685,11646618.0,12595953.0,5213703804.740006
T1016,203939,33883394.0,98273616.0,5212118019.49999
97153,73515,2018301.0,26012994.0,5146687913.109999
97110,1137186,38834892.0,135669845.0,4962727015.449999
S9124,23623,913358.0,11998345.0,4956847254.219997
S5130,125420,7793135.0,87575527.0,4894878973.209994
H2036,34147,1519281.0,18209988.0,4700742263.229998
T2031,64890,1767067.0,14265863.0,4653708307.009996
H0036,279936,13613698.0,56498126.0,4540606914.250103
G0463,812350,58015043.0,72375290.0,4447234569.649951
S5126,1905,1973757.0,49138345.0,4443797124.69
H0018,32016,1322160.0,10693683.0,4400753703.570002
T2046,28859,1003202.0,14075770.0,4189601279.489996
U0003,170897,49314205.0,68714959.0,4128082572.0899816
A0100,69392,25452658.0,157024238.0,3993212793.5700006
H2022,20860,1003634.0,7894247.0,3928019188.6699986
99212,1841599,76120004.0,92299154.0,3847648825.1202383
D0120,2280791,130457725.0,136235319.0,3814964188.5898576
H0015,125407,3724900.0,25053675.0,3809191242.519972
T2022,72494,16785628.0,18391337.0,3746599810.360003
T2025,26437,2875845.0,20538486.0,3628332154.7499943
D1120,1699599,104558849.0,108321764.0,3624050261.269848
90832,841396,37546209.0,65774815.0,3570225511.9299254
H2010,105183,9810276.0,27518924.0,3500042360.209998
A0425,473720,62689727.0,121772109.0,3454672105.3399897
