code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
81025,month,Jan-18,515262,77061511,668.6372916,666.8128411,670.4654997
81025,month,Feb-18,435756,76816414,567.2693859,565.5863336,568.956208
81025,month,Mar-18,496021,76672124,646.9378623,645.1387327,648.7407687
81025,month,Apr-18,485924,76587909,634.4656831,632.6830137,636.2521333
81025,month,May-18,504437,76388516,660.3571144,658.5360395,662.1819801
81025,month,Jun-18,459848,75959344,605.3870081,603.6385133,607.1393151
81025,month,Jul-18,477747,76353875,625.7010532,623.9280391,627.4778597
81025,month,Aug-18,504584,76065396,663.3555158,661.5264385,665.1884
81025,month,Sep-18,443007,75485517,586.8768177,585.1498897,588.6075819
81025,month,Oct-18,491470,75799027,648.3856317,646.5741522,650.2009314
81025,month,Nov-18,435450,75525925,576.5569902,574.8457817,578.2720329
81025,month,Dec-18,428418,74770615,572.9764293,571.2619583,574.6947732
81025,month,Jan-19,538448,75376060,714.3488264,712.4420474,716.259447
81025,month,Feb-19,474086,75153292,630.825327,629.0309088,632.6235982
81025,month,Mar-19,517374,74877560,690.9600153,689.0785043,692.8453934
81025,month,Apr-19,524802,75071007,699.0741446,697.1840492,700.9680971
81025,month,May-19,533668,74812854,713.3373097,711.424728,715.2537619
81025,month,Jun-19,475157,74215582,640.2388652,638.4197219,642.0619103
81025,month,Jul-19,499412,74488451,670.455612,668.5974162,672.3176952
81025,month,Aug-19,504951,75037460,672.931893,671.0770845,674.7905604
81025,month,Sep-19,492621,75625105,651.398765,649.5809932,653.2203658
81025,month,Oct-19,543820,75011359,724.9835322,723.0579419,726.9129827
81025,month,Nov-19,463066,74622336,620.5461057,618.7600619,622.3360299
81025,month,Dec-19,472306,74254894,636.0604326,634.2477191,637.8770458
81025,month,Jan-20,578566,74732556,774.1820044,772.1884016,776.1794818
81025,month,Feb-20,483488,74443888,649.4663471,647.636942,651.2996419
81025,month,Jun-20,419629,78055480,537.6035097,535.978136,539.2325934
81025,month,Jul-20,462111,79309251,582.6697317,580.9909722,584.3521423
81025,month,Aug-20,459641,80202982,573.0971449,571.4415381,574.7563623
81025,month,Sep-20,484451,80938780,598.5400324,596.855751,600.2278914
81025,month,Oct-20,494801,83848958,590.1098974,588.4667854,591.7564628
81025,month,Nov-20,452565,85021129,532.2970952,530.7473884,533.850208
81025,month,Dec-20,459614,83327207,551.5773498,549.9838642,553.1743105
81025,month,Jan-21,494795,84904129,582.7690665,581.1463846,584.3951589
81025,month,Feb-21,449392,85397214,526.2373079,524.6998481,527.7781587
81025,month,Mar-21,568722,85910366,661.9946189,660.2752301,663.7173782
81025,month,Apr-21,547675,86730928,631.464476,629.793186,633.1391046
81025,month,May-21,525902,87232698,602.8725605,601.244271,604.5041694
81025,month,Jun-21,559417,87595760,638.6347924,636.9623465,640.3105439
81025,month,Jul-21,558140,88407727,631.3249067,629.6697148,632.9833739
81025,month,Aug-21,546410,89007226,613.8939776,612.2673128,615.5238956
81025,month,Sep-21,525222,89384641,587.5975941,586.0095342,589.1888936
81025,month,Oct-21,523280,90288880,579.5619571,577.9927127,581.1344087
81025,month,Nov-21,513800,90916915,565.131362,563.587148,566.6787609
81025,month,Dec-21,499223,91152624,547.6781447,546.1599447,549.1995215
81025,month,Jan-22,489865,92054533,532.1465267,530.6573676,533.6388313
81025,month,Feb-22,486902,92416336,526.8570699,525.3782368,528.3390364
81025,month,Mar-22,629956,92843565,678.5133682,676.8388617,680.1909933
81025,month,Apr-22,562833,104075749,540.7916882,539.3797736,542.206385
81025,month,May-22,555938,94051660,591.0985516,589.54576,592.6544219
81025,month,Jun-22,552883,94517722,584.9516771,583.4107963,586.4956215
81025,month,Jul-22,508684,95111777,534.827564,533.3588291,536.2993433
81025,month,Aug-22,602727,95824368,628.9913647,627.4044193,630.5813318
81025,month,Sep-22,568988,96242503,591.2024129,589.6672504,592.7405841
81025,month,Oct-22,563579,96904625,581.5811165,580.0637123,583.1015087
81025,month,Nov-22,539873,97433463,554.0940282,552.6169621,555.5740664
81025,month,Dec-22,521279,97814451,532.9263669,531.4806298,534.3750644
81025,month,Jan-23,653324,98743626,661.6366306,660.0332245,663.2429691
81025,month,Feb-23,572940,99047187,578.4515617,576.9546951,579.9513517
81025,month,Mar-23,667262,99895730,667.9584803,666.3567393,669.5631199
81025,month,Apr-23,589402,100100536,588.8100339,587.3077779,590.3151827
81025,month,May-23,642631,99734767,644.3400023,642.765583,645.9173249
81025,month,Jun-23,598461,98529848,607.3905645,605.8526693,608.9313986
81025,month,Jul-23,569647,97857412,582.1194209,580.608718,583.6330827
81025,month,Aug-23,623599,96623612,645.389866,643.7890124,646.9937163
81025,month,Sep-23,549228,95335850,576.0980785,574.575482,577.6237123
81025,month,Oct-23,557289,93799620,594.1271404,592.5682846,595.6890832
81025,month,Nov-23,516385,92066205,560.8844201,559.3556491,562.4163363
81025,month,Dec-23,476343,90517353,526.2449511,524.7515658,527.7415354
81025,month,Jan-24,550686,89975996,612.0365703,610.4211316,613.6552272
81025,month,Feb-24,510141,89239469,571.6540066,570.0863815,573.2248766
81025,month,Mar-24,516644,88428995,584.2472822,582.6552314,585.8426077
81025,month,Apr-24,527328,87303815,604.0148417,602.3856729,605.6473274
81025,month,May-24,514092,86344918,595.393466,593.767023,597.0232626
81025,month,Jun-24,451015,85303813,528.7161079,527.1741858,530.2614247
81025,quarter,2018-Q1,1447039,230550049,627.6463641,626.6241345,628.6698495
81025,quarter,2018-Q2,1450209,228935769,633.4567142,632.4261492,634.4885438
81025,quarter,2018-Q3,1425338,227904788,625.4094144,624.3831064,626.4369927
81025,quarter,2018-Q4,1355338,226095567,599.453593,598.4448059,600.4636606
81025,quarter,2019-Q1,1529908,225406912,678.7316265,677.656539,679.8079983
81025,quarter,2019-Q2,1533627,224099443,684.3510985,683.2684247,685.4350643
81025,quarter,2019-Q3,1496984,225151016,664.8799666,663.815306,665.945913
81025,quarter,2019-Q4,1479192,223888589,660.6821753,659.6178956,661.7477481
81025,quarter,2020-Q1,1062054,149176444,711.944843,710.5914703,713.3001565
81025,quarter,2020-Q2,419629,78055480,537.6035097,535.978136,539.2325934
81025,quarter,2020-Q3,1406203,240451013,584.8189128,583.8527096,585.78632
81025,quarter,2020-Q4,1406980,252197294,557.8886187,556.9671627,558.8112228
81025,quarter,2021-Q1,1512909,256211709,590.4917484,589.551192,591.4334347
81025,quarter,2021-Q2,1632994,261559386,624.3301091,623.3729023,625.2884228
81025,quarter,2021-Q3,1629772,266799594,610.86,609.9225203,611.7985649
81025,quarter,2021-Q4,1536303,272358419,564.0739896,563.1823767,564.9666655
81025,quarter,2022-Q1,1606723,277314434,579.3867188,578.4911881,580.2832935
81025,quarter,2022-Q2,1671654,292645131,571.2222152,570.3566145,572.0888052
81025,quarter,2022-Q3,1680399,287178648,585.1406474,584.2562647,586.0260381
81025,quarter,2022-Q4,1624731,292152539,556.1242102,555.2694103,556.980001
81025,quarter,2023-Q1,1893526,297686543,636.0804828,635.1748087,636.9871294
81025,quarter,2023-Q2,1830494,298365151,613.5079763,612.6195345,614.3973884
81025,quarter,2023-Q3,1742474,289816874,601.2327633,600.3403859,602.1261395
81025,quarter,2023-Q4,1550017,276383178,560.8217588,559.9392154,561.7053498
81025,quarter,2024-Q1,1577471,267644460,589.3904921,588.4710945,590.3109714
81025,quarter,2024-Q2,1492435,258952546,576.3353259,575.4110455,577.2607244
81025,year,2018,5677924,913486173,621.5664963,621.0553411,622.0779684
81025,year,2019,6039711,898545960,672.1649497,671.6289921,672.7012295
81025,year,2020,4294866,719880231,596.60841,596.0443032,597.1729189
81025,year,2021,6311978,1056929108,597.1997509,596.7339488,597.6658268
81025,year,2022,6583507,1149290752,572.8321566,572.3946697,573.2698953
81025,year,2023,7016511,1162251746,603.6997599,603.2531491,604.1466198
81025,year,2024,3069906,526597006,582.9706521,582.3187049,583.6231491
