slide_title,source_slide_number,code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2018-Q1,22232,230550049.0,9.643025493349603,9.516679760812114,9.770629465558747
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2018-Q2,19808,228935769.0,8.652208471625944,8.532131683916186,8.773552541413295
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2018-Q3,16584,227904788.0,7.276722944495575,7.166390254544806,7.388328932573386
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2018-Q4,14333,226095567.0,6.3393547207407215,6.235991659638224,6.444001523008766
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2019-Q1,19363,225406912.0,8.590242343588825,8.469668153934867,8.7121036904739
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2019-Q2,22623,224099443.0,10.095071945359543,9.963947659405113,10.227490663465732
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2019-Q3,20392,225151016.0,9.057032192117667,8.933143965377264,9.182208959229982
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2019-Q4,17358,223888589.0,7.752963238336368,7.63805057708498,7.869171962144744
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2020-Q1,12365,149176444.0,8.28884217135515,8.143379913543805,8.436250519056228
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2020-Q2,4406,78055480.0,5.644702972808571,5.4792460602733035,5.813886770563465
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2020-Q3,16568,240451013.0,6.890384778707503,6.785859664377219,6.996116754687638
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2020-Q4,15074,252197294.0,5.977066510475723,5.882026466641748,6.073257351199045
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2021-Q1,19162,256211709.0,7.478971228438275,7.37344783105616,7.58562704016012
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2021-Q2,21395,261559386.0,8.179786750225817,8.070543417554372,8.290139199763548
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2021-Q3,18006,266799594.0,6.748885832262549,6.650665235273888,6.8481939876483295
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2021-Q4,17803,272358419.0,6.536607190394948,6.440937150691484,6.633342606682167
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2022-Q1,21089,277314434.0,7.6047249671829205,7.502430018112149,7.708066038362067
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2022-Q2,23120,282016994.5,8.198087509226328,8.092750104506685,8.304453484925576
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2022-Q3,22113,287178648.0,7.700085000748385,7.598926027587478,7.802254108133188
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2022-Q4,18906,292152539.0,6.4712769790441556,6.379357577269578,6.564189500992925
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2023-Q1,21044,297686543.0,7.069180819503822,6.973988466420946,7.165347705990815
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2023-Q2,23220,298365151.0,7.782410218544592,7.682628729063105,7.883163916437746
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2023-Q3,20543,289816874.0,7.088269125420213,6.991666763417402,7.185872511442274
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2023-Q4,19587,276383178.0,7.086900202008676,6.987995641957499,7.186854500717565
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2024-Q1,19731,267644460.0,7.372093560240328,7.269583670743797,7.47568745331231
Custom Aggregate 95921 and 95923,4,Custom Aggregate 95921 and 95923,quarter,2024-Q2,18685,258952546.0,7.215607758496416,7.112513533688753,7.319822446411264
HCPCS 95943 – Quantitative autonomic function testing of parasympathetic and sympathetic functions (45 months of data),7,HCPCS 95943 – Quantitative autonomic function testing of parasympathetic and sympathetic functions (45 months of data),quarter,2018-Q1,3541,230550049.0,1.535892104711719,1.4857163679076595,1.587330359228432
