HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,R_squared,N_obs
93247,continuous cardiac monitoring and detection,0,-857.3050,1792.9227,935.6177,0,1.45E-76,1.11E-94,2.79E-117,0,0,-948.0387,-766.5712,1622.6998,1963.1455,855.9653,1015.2701,0.8021,42
93243,continuous cardiac monitoring and detection,0,-692.4881,1483.4666,790.9786,0,5.44E-49,5.04E-63,9.47E-81,0,0,-784.7460,-600.2301,1309.9543,1656.9790,709.5166,872.4405,0.8497,42
93246,continuous cardiac monitoring and detection,0,-129.9846,300.5532,170.5686,0,6.98E-10,2.82E-14,2.64E-20,0,0,-171.2993,-88.6698,223.1098,377.9965,134.3585,206.7787,0.8313,42
86140,CRP,142410.7339,2107.1289,36591.4760,-1945.9488,0.0000,8.44E-43,3.69E-11,2.57E-13,135046.4851,149774.9827,1805.9714,2408.2865,25751.3954,47431.5567,-2467.3104,-1424.5872,0.8819,75
93248,continuous cardiac monitoring and detection,0,-132.3011,310.3377,178.0366,0,8.35E-07,9.41E-10,9.46E-14,0,0,-184.9294,-79.6727,210.9366,409.7388,131.1870,224.8862,0.8057,42
81241,Factor V Leiden,1889.8671,-16.9246,515.7372,8.2179,9.04E-293,3.53E-11,2.04E-09,0.0312,1788.5759,1991.1582,-21.9334,-11.9158,347.1145,684.3598,0.7406,15.6951,0.3457,75
93244,continuous cardiac monitoring and detection,0,-65.8891,169.0342,103.1452,0,1.64E-05,4.14E-09,2.38E-14,0,0,-95.8575,-35.9207,112.6778,225.3907,76.6437,129.6466,0.7962,42
85390,Coagulation interpretation/report,619.6519,47.8606,1144.9368,-53.1927,7.87E-08,1.66E-08,3.58E-08,5.37E-09,393.4960,845.8078,31.2393,64.4819,737.7150,1552.1585,-71.0587,-35.3266,0.9246,75
85300,Antithrombin III,584.3611,11.6577,275.8803,-14.8028,1.99E-145,1.64E-13,4.39E-08,7.02E-12,539.7599,628.9623,8.5596,14.7558,177.1108,374.6497,-19.0337,-10.5718,0.7965,75
85652,ESR,127089.5807,966.7866,28007.1930,-678.8063,0.0000,1.71E-14,1.28E-07,0.0057,121613.5865,132565.5748,719.7534,1213.8197,17613.4300,38400.9559,-1160.2576,-197.3549,0.7870,75
85306,Protein C / S,765.6048,14.2023,253.8619,-17.5311,2.32E-271,1.50E-27,5.29E-07,2.85E-16,722.9702,808.2394,11.6428,16.7617,154.6544,353.0694,-21.7319,-13.3303,0.7758,75
81240,Prothrombin gene mutation,1566.5837,-19.7491,362.2740,14.5843,5.89E-306,2.46E-19,6.61E-07,4.28E-06,1484.4621,1648.7054,-24.0546,-15.4437,219.4765,505.0716,8.3667,20.8019,0.5016,75
