HCPCS_CODE,Category,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,R_squared,N_obs
85390,Hematology,Coagulation interpretation/report,644.0450,43.5308,1272.0892,-48.8628,0.0000,0.0000,0.0000,0.0000,411.4599,876.6302,25.5478,61.5137,831.4525,1712.7258,-68.0045,-29.7211,0.9139,78.0000
81241,Genetics,Factor V Leiden mutation,1910.3153,-20.1275,607.3914,11.4208,0.0000,0.0000,0.0000,0.0093,1801.3942,2019.2364,-26.8655,-13.3896,393.4172,821.3656,2.8132,20.0284,0.3799,78.0000
81240,Genetics,Prothrombin gene mutation,1581.4895,-22.0740,428.7394,16.9092,0.0000,0.0000,0.0000,0.0000,1493.5997,1669.3792,-27.5631,-16.5849,255.7170,601.7618,9.8910,23.9274,0.5032,78.0000
86140,Inflammatory,CRP,144714.3018,1729.2256,47514.5242,-1568.0455,0.0000,0.0000,0.0000,0.0001,136615.9833,152812.6203,1084.8150,2373.6362,28023.1844,67005.8640,-2337.4109,-798.6800,0.8473,78.0000
85300,Hematology,Antithrombin III,598.5796,9.4018,340.6187,-12.5468,0.0000,0.0001,0.0000,0.0000,549.0533,648.1058,4.6815,14.1221,199.0553,482.1821,-18.0243,-7.0694,0.7578,78.0000
86148,Hematology,Beta-2 glycoprotein,656.7538,18.0506,580.3714,-49.3547,0.0000,0.0000,0.0000,0.0000,593.9645,719.5430,13.2146,22.8865,331.6676,829.0753,-57.1621,-41.5473,0.6531,78.0000
11105,Dermatology,Punch biopsy (each additional lesion),24.9309,9.6103,-231.8035,-10.1346,0.5106,0.0000,0.0000,0.0000,-49.3457,99.2075,5.5057,13.7149,-339.3525,-124.2545,-14.4005,-5.8688,0.4523,78.0000
85303,Hematology,Protein C,675.2402,9.0085,316.0815,-12.5201,0.0000,0.0003,0.0000,0.0000,622.4871,727.9934,4.1568,13.8602,166.5345,465.6285,-18.3051,-6.7352,0.7128,78.0000
85652,Inflammatory,ESR,129423.0646,590.2185,38853.5911,-302.2382,0.0000,0.0518,0.0001,0.4083,122894.6359,135951.4932,-4.6025,1185.0396,20066.3887,57640.7935,-1018.6957,414.2193,0.7335,78.0000
86146,Hematology,Anticardiolipin antibodies (variant),2520.9429,68.4874,1454.9102,-15.0226,0.0000,0.0000,0.0001,0.3064,2263.1890,2778.6969,47.4820,89.4928,749.3402,2160.4802,-43.8075,13.7623,0.8869,78.0000
85306,Hematology,Protein S,785.8784,10.9403,347.7576,-14.2691,0.0000,0.0001,0.0001,0.0000,732.1822,839.5746,5.3484,16.5322,176.7247,518.7905,-20.7522,-7.7860,0.7216,78.0000
93350,Cardiovascular,Stress echocardiography,952.4565,-16.9610,361.4528,14.7378,0.0000,0.0000,0.0001,0.0000,866.8898,1038.0231,-22.6080,-11.3140,183.3352,539.5704,7.8762,21.5995,0.3809,78.0000
85597,Hematology,Platelet aggregation studies,363.5616,2.9933,198.9084,-0.5436,0.0000,0.0242,0.0001,0.7741,331.9158,395.2073,0.3912,5.5955,99.5081,298.3088,-4.2553,3.1681,0.7346,78.0000
