HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,Deviance,N_obs
11102,"Tangential skin biopsy, single lesion",9.0127,6.41E-05,0.2793,0.0036,0.0000,0.8255,0.0000,2.87E-27,9.0044,9.0209,-0.0005,0.0006,0.2686,0.2901,0.0030,0.0043,14656.3073,57
82150,Amylase,11.0128,-0.0066,0.1552,0.0033,0.0000,0.0000,0.0000,3.81E-229,11.0102,11.0154,-0.0068,-0.0065,0.1510,0.1594,0.0031,0.0035,25528.6182,69
82570,Creatinine (needed for normalization),12.3481,0.0015,0.0942,0.0048,0.0000,0.0000,0.0000,0.0000,12.3468,12.3494,0.0014,0.0015,0.0924,0.0961,0.0047,0.0049,163192.4675,69
82465,"Total cholesterol, serum",10.7924,-0.0009,0.1599,-0.0043,0.0000,2.23E-42,0.0000,0.0000,10.7895,10.7952,-0.0011,-0.0008,0.1556,0.1642,-0.0045,-0.0041,64460.9726,69
76700,abdominal ultrasound,10.9821,-0.0017,0.1984,5.57E-05,0.0000,6.48E-154,0.0000,0.5512,10.9795,10.9847,-0.0018,-0.0016,0.1946,0.2023,-0.0001,0.0002,41536.8108,69
80061,"Lipid Panel (Total, HDL, Triglycerides, and calculated LDL)",13.7789,0.0062,0.1495,-0.0037,0.0000,0.0000,0.0000,0.0000,13.7783,13.7795,0.0062,0.0063,0.1487,0.1504,-0.0038,-0.0037,859690.7059,69
81025,"qualitative urine pregnancy test (hCG) performed by visual color comparison, such as a dipstick or test strip",13.1031,-0.0007,0.1141,0.0030,0.0000,4.51E-219,0.0000,0.0000,13.1022,13.1040,-0.0007,-0.0006,0.1128,0.1154,0.0029,0.0030,208219.8983,69
82784,Total serum IgA,10.4843,0.0080,0.1799,-0.0015,0.0000,0.0000,0.0000,3.94E-49,10.4811,10.4874,0.0079,0.0082,0.1758,0.1841,-0.0017,-0.0013,33219.9814,69
82274,Fecal occult blood,10.8447,-0.0028,0.2164,0.0094,0.0000,0.0000,0.0000,0.0000,10.8419,10.8474,-0.0029,-0.0027,0.2122,0.2205,0.0092,0.0096,70736.8566,69
71260,CT Chest,10.5570,0.0081,0.0982,-0.0074,0.0000,0.0000,0.0000,0.0000,10.5539,10.5601,0.0079,0.0082,0.0940,0.1023,-0.0076,-0.0072,31193.0648,69
85025,CBC,14.8643,0.0026,0.1319,-0.0004,0.0000,0.0000,0.0000,7.02E-233,14.8639,14.8646,0.0025,0.0026,0.1314,0.1324,-0.0004,-0.0004,909007.5184,69
84478,Triglycerides,10.2830,-0.0003,0.2423,-0.0028,0.0000,0.0047,0.0000,7.19E-103,10.2793,10.2866,-0.0004,-7.72E-05,0.2370,0.2476,-0.0030,-0.0025,30715.8337,69
83690,Lipase,12.7565,0.0019,0.1398,0.0022,0.0000,0.0000,0.0000,0.0000,12.7554,12.7575,0.0018,0.0019,0.1383,0.1413,0.0021,0.0023,160002.3932,69
