HCPCS_CODE,Description,Category,Unnamed: 3,Unnamed: 4
33271,Surgical insertion or replacement of a complete permanent subcutaneous implantable cardioverter-defibrillator electrode,MISC,,
85259,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
71254,CT Chest,CARDIAC IMAGING,,
75564,Cardiac MRI,CARDIAC IMAGING,,
71252,CT Chest,CARDIAC IMAGING,,
38530," Biopsy or excision of lymph node(s); open, internal mammary node(s)",MISC,,
84073,"anaerobic culture using material from any source except urine, blood, or stool",NEGATIVE CONTROL,,
85241,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
33270,Surgical insertion or replacement of a complete permanent subcutaneous implantable cardioverter-defibrillator system,MISC,,
0465T,"Sudomotor testing via electrochemical skin conductance (e.g., Sudoscan)",SUDOMOTOR TESTING,,
86791,Viral serologies (lab dependent),VIRAL REACTIVATION,,
85254,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85251,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
95866,Needle EMG; Hemidiaphragm,NERVE CONDUCTION STUDIES,,
85258,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85256,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
71253,CT Chest,CARDIAC IMAGING,,
71255,CT Chest,CARDIAC IMAGING,,
24546, Open treatment of a humeral shaft fracture with internal fixation ,NEGATIVE CONTROL,,
85248,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
20225,Bone biopsy deep,MISC,,
85262,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
38510," Biopsy or excision of lymph node(s); open, deep cervical node(s)",MISC,,
71256,CT Chest,CARDIAC IMAGING,,
85261,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
82587,Leukotriene E4,URINARY MEDIATORS,,
20220,Bone biopsy superfical,MISC,,
25606,Percutaneous skeletal fixation of a distal radial fracture ,NEGATIVE CONTROL,,
85263,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85255,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85249,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
95726, Long-term EEG review and analysis (professional services),ADDITIONAL/ADJUNCT AUTONOMIC TESTING,,
96115," Deleted; old code for neurobehavioral status exam, per hour. Replaced by 96116. ",QUANTITATIVE SENSORY TESTING,,
71258,CT Chest,CARDIAC IMAGING,,
38520," Biopsy or excision of lymph node(s); open, deep cervical node(s) with excision scalene fat pad",MISC,,
71251,CT Chest,CARDIAC IMAGING,,
71259,CT Chest,CARDIAC IMAGING,,
82586,Leukotriene E4,URINARY MEDIATORS,,
85304,Protein C / S,HYPERCOAGULABILITY/ENDOTHELIAL INJURY,,
33272,Removal of a complete permanent subcutaneous implantable cardioverter-defibrillator electrode,MISC,,
75562,Cardiac MRI,CARDIAC IMAGING,,
92599,Tinnitus pitch match and loudness match,TINNITUS,,
85269,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
95725, Long-term EEG review and analysis (professional services),ADDITIONAL/ADJUNCT AUTONOMIC TESTING,,
85252,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
27236,Open treatment of a femoral fracture with internal fixation ,NEGATIVE CONTROL,,
85265,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85257,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
24670,Closed treatment of ulnar shaft fracture; without manipulation,NEGATIVE CONTROL,,
85264,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
38500," Biopsy or excision of lymph node(s); open, superficial",MISC,,
85268,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85267,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
75559,cardiovascular magnetic resonance imaging,CARDIAC IMAGING,,
85243,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
93644,electrophysiologic evaluation of a subcutaneous implantable cardioverter-defibrillator,MISC,,
71257,CT Chest,CARDIAC IMAGING,,
85242,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85253,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
38531," Biopsy or excision of lymph node(s); open, inguinofemoral node(s) ",MISC,,
75558,cardiovascular magnetic resonance imaging,CARDIAC IMAGING,,
96117,"Neuropsychological testing battery with interpretation and report, per hour. ",QUANTITATIVE SENSORY TESTING,,
75560,cardiovascular magnetic resonance imaging,CARDIAC IMAGING,,
95863,Needle EMG; three extremities,NERVE CONDUCTION STUDIES,,
85266,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
93453,Combined right and left heart catheterization,MISC,,
27235, Percutaneous skeletal fixation of a femoral fracture ,NEGATIVE CONTROL,,
