code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
75565,month,2018-01,93,77061511.0,0.12068281401853125,0.09740660642282155,0.14784460043267597
75565,month,2018-02,73,76816414.0,0.0950317727666902,0.07448973981328931,0.11948818670835316
75565,month,2018-03,118,76672124.0,0.15390208832613012,0.1273888264009576,0.18430626067416964
75565,month,2018-04,202,76587909.0,0.263749203545954,0.22862953507741138,0.3027370126289257
75565,month,2018-05,109,76388516.0,0.142691605633496,0.11716465593555947,0.17212854557540455
75565,month,2018-06,116,75959344.0,0.15271327251062095,0.12618993194756062,0.18316502375046442
75565,month,2018-07,84,76353875.0,0.11001406280951687,0.08775152504019737,0.13620489565184177
75565,month,2018-08,153,76065396.0,0.20114271146369894,0.17053375394473708,0.2356595686471975
75565,month,2018-09,136,75485517.0,0.18016701137517546,0.15116073629271548,0.21311740461516301
75565,month,2018-10,130,75799027.0,0.1715061593072956,0.1432929458297981,0.20364963719953422
75565,month,2018-11,107,75525925.0,0.14167320691537377,0.11610461202168101,0.17119756862415703
75565,month,2018-12,102,74770615.0,0.13641722754319996,0.11123194612454038,0.16560120658299884
75565,month,2019-01,160,75376060.0,0.21226898832334828,0.18065218955023113,0.24782715948031386
75565,month,2019-02,162,75153292.0,0.2155594195394661,0.18364326163539613,0.2514280103343677
75565,month,2019-03,132,74877560.0,0.17628779570274458,0.14749854084222622,0.20905483353364748
75565,month,2019-04,208,75071007.0,0.2770710135805159,0.24069443254096315,0.3173925903868257
75565,month,2019-05,242,74812854.0,0.3234738244312936,0.28399936720297947,0.36690040571382726
75565,month,2019-06,177,74215582.0,0.23849439057151098,0.20465251266475687,0.2763342556548376
75565,month,2019-07,180,74488451.0,0.2416481985912152,0.20763473873628574,0.2796441919590825
75565,month,2019-08,117,75037460.0,0.1559221220974164,0.1289518431716368,0.18686857098128923
75565,month,2019-09,69,75625105.0,0.0912395427417919,0.07098981027113262,0.11546948079615264
75565,month,2019-10,196,75011359.0,0.26129375952247447,0.2259918787566821,0.300546444941825
75565,month,2019-11,62,74622336.0,0.0830850430627098,0.06370082609873347,0.1065112754922953
75565,month,2019-12,47,74254894.0,0.06329549133825442,0.04650714627249451,0.08416958529446823
75565,month,2020-01,155,74732556.0,0.20740626080017924,0.17603994724839703,0.24274950194471528
75565,month,2020-02,97,74443888.0,0.13029948140269085,0.10566410176512049,0.15895431728715437
75565,month,2020-06,160,78055480.0,0.20498240482282604,0.17445091976462887,0.23931996629343266
75565,month,2020-07,120,79309251.0,0.1513064346049618,0.12544807115369014,0.1809254072634632
75565,month,2020-08,94,80202982.0,0.11720262471038795,0.09471165099458548,0.1434263301192869
75565,month,2020-09,139,80938780.0,0.17173473580896575,0.14437281078312497,0.20277394755018258
75565,month,2020-10,188,83848958.0,0.22421268490897642,0.19330669084620958,0.2586547906756267
75565,month,2020-11,164,85021129.0,0.19289322775283307,0.1645007119656343,0.22477890363778397
75565,month,2020-12,192,83327207.0,0.23041693933171192,0.1989759926527211,0.26541526119190645
75565,month,2021-01,132,84904129.0,0.15546947074858986,0.1300800205114435,0.18436695630203923
75565,month,2021-02,161,85397214.0,0.1885307405930128,0.1605334684729096,0.2200065995473681
75565,month,2021-03,342,85910366.0,0.39808932952281917,0.3570118168221571,0.4425970150389425
75565,month,2021-04,196,86730928.0,0.22598628254041048,0.19545458972261842,0.25993492514809674
75565,month,2021-05,162,87232698.0,0.1857101794558733,0.1582135596163416,0.21661192546902253
75565,month,2021-06,206,87595760.0,0.2351712000672179,0.2041514520745483,0.2695722418362715
75565,month,2021-07,258,88407727.0,0.2918296949315301,0.2573031913785448,0.32969838475532
75565,month,2021-08,230,89007226.0,0.2584059860488181,0.22608710419894643,0.2940485155685343
75565,month,2021-09,160,89384641.0,0.17900166987301544,0.1523399336432933,0.20898707690304097
75565,month,2021-10,220,90288880.0,0.24366234247229562,0.2125261295845235,0.2780765989473259
75565,month,2021-11,189,90916915.0,0.2078821086263211,0.17930022931923914,0.23972499585704055
75565,month,2021-12,133,91152624.0,0.14590912928628363,0.12216666483914339,0.17291881123356206
75565,month,2022-01,102,92054533.0,0.11080388621383806,0.09034732726718357,0.13450835778997294
75565,month,2022-02,112,92416336.0,0.12119069511693258,0.09978804346079939,0.14582389772749202
75565,month,2022-03,234,92843565.0,0.252036853604232,0.22077610819885693,0.28648332673855387
75565,month,2022-04,271,93447612.5,0.29000205864007494,0.25649907348119977,0.32666542158875933
75565,month,2022-05,286,94051660.0,0.30408820003814924,0.269863474100158,0.34145135497652124
75565,month,2022-06,265,94517722.0,0.2803707012744129,0.24762715829118415,0.3162395366287088
75565,month,2022-07,183,95111777.0,0.19240519499493736,0.16553741455683893,0.22239134880725236
75565,month,2022-08,387,95824368.0,0.4038638689482408,0.3646240417443957,0.4461757210810893
75565,month,2022-09,182,96242503.0,0.18910563870102173,0.16262892797084774,0.21866428762805443
75565,month,2022-10,132,96904625.0,0.1362164086595454,0.11397114267586553,0.161535281120026
75565,month,2022-11,203,97433463.0,0.20834731082071875,0.18067066550095037,0.23906435069035317
75565,month,2022-12,166,97814451.0,0.16970907499138344,0.14487399517412136,0.19757997731919302
75565,month,2023-01,200,98743626.0,0.2025447191902797,0.1754451296749598,0.23264487134131562
75565,month,2023-02,317,99047187.0,0.3200494729850329,0.2857834048956596,0.3572927982918165
75565,month,2023-03,307,99895730.0,0.30732044302594314,0.273900992117571,0.34369273627091557
75565,month,2023-04,251,100100536.0,0.2507479080831296,0.2206841903798396,0.28376423684242486
75565,month,2023-05,352,99734767.0,0.3529361030141074,0.3170247901695537,0.3918013789904882
75565,month,2023-06,320,98529848.0,0.3247746814752013,0.2901614597061583,0.3623805348066847
75565,month,2023-07,337,97857412.0,0.34437861487691906,0.3085879243149452,0.3831810948969101
75565,month,2023-08,390,96623612.0,0.403628049011457,0.36455840002585277,0.4457441163524619
75565,month,2023-09,278,95335850.0,0.29160069375790953,0.25832683464149536,0.32797155921286103
75565,month,2023-10,322,93799620.0,0.343284972796265,0.3068095819885305,0.3829037322358066
75565,month,2023-11,239,92066205.0,0.2595957984800177,0.22772490040015733,0.29467860594817497
75565,month,2023-12,225,90517353.0,0.2485711220477249,0.21715045503442312,0.2832607599909939
75565,month,2024-01,221,89975996.0,0.24562106542282675,0.21430320356090762,0.28022820714878016
75565,month,2024-02,298,89239469.0,0.333932959641434,0.29709125084733795,0.37408103837684265
75565,month,2024-03,308,88428995.0,0.3483020473092564,0.3104858257252707,0.3894539102410564
75565,month,2024-04,425,87303815.0,0.4868057598628422,0.44161831571507454,0.5353624765679201
75565,month,2024-05,291,86344918.0,0.3370204138707967,0.29940674830542874,0.378052061259439
75565,month,2024-06,294,85303813.0,0.34465047887132544,0.30637617742742984,0.38638413917348247
75565,quarter,2018-Q1,284,230550049.0,0.12318366499241126,0.10927224289365997,0.13837547916659884
75565,quarter,2018-Q2,427,228935769.0,0.18651519675809156,0.1692416434711444,0.20507356179116812
75565,quarter,2018-Q3,373,227904788.0,0.16366483708977628,0.14747504002081394,0.1811466914132187
75565,quarter,2018-Q4,339,226095567.0,0.14993659738583023,0.13439870846596558,0.16677796348664728
75565,quarter,2019-Q1,454,225406912.0,0.20141352187105957,0.18331007380337236,0.2208212699475127
75565,quarter,2019-Q2,627,224099443.0,0.27978650531496413,0.25831232164739965,0.3025695790226501
75565,quarter,2019-Q3,366,225151016.0,0.16255756092168822,0.1463282899399064,0.180094903134802
75565,quarter,2019-Q4,305,223888589.0,0.1362284703129734,0.1213672707502737,0.15240726417672867
75565,quarter,2020-Q1,252,149176444.0,0.1689274749034774,0.14871264968860315,0.19112348357494346
75565,quarter,2020-Q2,160,78055480.0,0.20498240482282604,0.17445091976462887,0.23931996629343266
75565,quarter,2020-Q3,353,240451013.0,0.14680744971533974,0.13189036854534975,0.1629497515114789
75565,quarter,2020-Q4,544,252197294.0,0.21570413836399052,0.19795635671020673,0.23461611150559916
75565,quarter,2021-Q1,635,256211709.0,0.24784191264264196,0.228937363171708,0.267891207182097
75565,quarter,2021-Q2,564,261559386.0,0.21562980729737607,0.19819885369566256,0.23418299830492018
75565,quarter,2021-Q3,648,266799594.0,0.2428789303180124,0.22453604757889103,0.2623209839320681
75565,quarter,2021-Q4,542,272358419.0,0.19900247695298895,0.18259934831602678,0.21648364675969597
75565,quarter,2022-Q1,448,277314434.0,0.16154947059120622,0.1469344734343515,0.17722473891654267
75565,quarter,2022-Q2,822,282016994.5,0.29147179639204335,0.27188426617488015,0.3120976733485703
75565,quarter,2022-Q3,752,287178648.0,0.26185790804335846,0.2434742248117737,0.28126181104922404
75565,quarter,2022-Q4,501,292152539.0,0.17148575936216662,0.15679643477834107,0.18718065531645417
75565,quarter,2023-Q1,824,297686543.0,0.2768012257779486,0.2582217862786304,0.29636434198537626
75565,quarter,2023-Q2,923,298365151.0,0.30935248198607485,0.2897145446979289,0.32997123394434663
