HCPCS_CODE,Description,Category,Unnamed: 3,Unnamed: 4
38520," Biopsy or excision of lymph node(s); open, deep cervical node(s) with excision scalene fat pad",MISC,,
82586,Leukotriene E4,URINARY MEDIATORS,,
38500," Biopsy or excision of lymph node(s); open, superficial",MISC,,
24546, Open treatment of a humeral shaft fracture with internal fixation ,NEGATIVE CONTROL,,
85257,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
93644,electrophysiologic evaluation of a subcutaneous implantable cardioverter-defibrillator,MISC,,
38530," Biopsy or excision of lymph node(s); open, internal mammary node(s)",MISC,,
85261,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
33271,Surgical insertion or replacement of a complete permanent subcutaneous implantable cardioverter-defibrillator electrode,MISC,,
75558,cardiovascular magnetic resonance imaging,CARDIAC IMAGING,,
38531," Biopsy or excision of lymph node(s); open, inguinofemoral node(s) ",MISC,,
71259,CT Chest,CARDIAC IMAGING,,
86791,Viral serologies (lab dependent),VIRAL REACTIVATION,,
95866,Needle EMG; Hemidiaphragm,NERVE CONDUCTION STUDIES,,
96115," Deleted; old code for neurobehavioral status exam, per hour. Replaced by 96116. ",QUANTITATIVE SENSORY TESTING,,
24670,Closed treatment of ulnar shaft fracture; without manipulation,NEGATIVE CONTROL,,
33270,Surgical insertion or replacement of a complete permanent subcutaneous implantable cardioverter-defibrillator system,MISC,,
71251,CT Chest,CARDIAC IMAGING,,
85242,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
75559,cardiovascular magnetic resonance imaging,CARDIAC IMAGING,,
85269,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
71257,CT Chest,CARDIAC IMAGING,,
33272,Removal of a complete permanent subcutaneous implantable cardioverter-defibrillator electrode,MISC,,
96117,"Neuropsychological testing battery with interpretation and report, per hour. ",QUANTITATIVE SENSORY TESTING,,
85266,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85255,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85265,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85268,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85248,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
75562,Cardiac MRI,CARDIAC IMAGING,,
85252,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
27236,Open treatment of a femoral fracture with internal fixation ,NEGATIVE CONTROL,,
27235, Percutaneous skeletal fixation of a femoral fracture ,NEGATIVE CONTROL,,
93457,Coronary angiography procedure that includes catheter placement in coronary arteries and bypass grafts,MISC,,
71256,CT Chest,CARDIAC IMAGING,,
20225,Bone biopsy deep,MISC,,
71253,CT Chest,CARDIAC IMAGING,,
75564,Cardiac MRI,CARDIAC IMAGING,,
85249,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85256,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
20220,Bone biopsy superfical,MISC,,
92599,Tinnitus pitch match and loudness match,TINNITUS,,
0465T,"Sudomotor testing via electrochemical skin conductance (e.g., Sudoscan)",SUDOMOTOR TESTING,,
85251,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
71254,CT Chest,CARDIAC IMAGING,,
95725, Long-term EEG review and analysis (professional services),ADDITIONAL/ADJUNCT AUTONOMIC TESTING,,
85262,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85264,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85259,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
82587,Leukotriene E4,URINARY MEDIATORS,,
25606,Percutaneous skeletal fixation of a distal radial fracture ,NEGATIVE CONTROL,,
71252,CT Chest,CARDIAC IMAGING,,
85267,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85253,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
95726, Long-term EEG review and analysis (professional services),ADDITIONAL/ADJUNCT AUTONOMIC TESTING,,
95863,Needle EMG; three extremities,NERVE CONDUCTION STUDIES,,
85263,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85304,Protein C / S,HYPERCOAGULABILITY/ENDOTHELIAL INJURY,,
93453,Combined right and left heart catheterization,MISC,,
93541,Right heart catheterization,MISC,,
85241,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85258,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
85243,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
38510," Biopsy or excision of lymph node(s); open, deep cervical node(s)",MISC,,
71258,CT Chest,CARDIAC IMAGING,,
85254,Clotting factors (selective use),FIBRINOLYSIS/CLOT STABILITY,,
84073,"anaerobic culture using material from any source except urine, blood, or stool",NEGATIVE CONTROL,,
71255,CT Chest,CARDIAC IMAGING,,
75560,cardiovascular magnetic resonance imaging,CARDIAC IMAGING,,
