target_title,code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
HCPCS A0428,A0428,month,2018-01,294462,77061511.0,382.11293313467473,380.7340160972668,383.4956083534626
HCPCS A0428,A0428,month,2018-02,255220,76816414.0,332.2466992536257,330.9589371671123,333.5382316868809
HCPCS A0428,A0428,month,2018-03,279179,76672124.0,364.12060268475153,362.77115998945,365.47382271130914
HCPCS A0428,A0428,month,2018-04,271567,76587909.0,354.58207900675285,353.2497137019661,355.91822582998395
HCPCS A0428,A0428,month,2018-05,284264,76388516.0,372.12923471376246,370.7624912667728,373.49976949432056
HCPCS A0428,A0428,month,2018-06,268886,75959344.0,353.98673269216226,352.64999586194205,355.3272823452681
HCPCS A0428,A0428,month,2018-07,274607,76353875.0,359.6503779277738,358.30646234856886,360.99808660257787
HCPCS A0428,A0428,month,2018-08,289606,76065396.0,380.73291566115034,379.3475180255794,382.1221207132073
HCPCS A0428,A0428,month,2018-09,256737,75485517.0,340.1142499957972,338.7998905814522,341.43244622486014
HCPCS A0428,A0428,month,2018-10,284895,75799027.0,375.8557481219383,374.4768462486252,377.2384708113339
HCPCS A0428,A0428,month,2018-11,268393,75525925.0,355.3653927442795,354.02221900741193,356.71240118689326
HCPCS A0428,A0428,month,2018-12,269856,74770615.0,360.91183682252716,359.55139855389,362.27614852707745
HCPCS A0428,A0428,month,2019-01,296721,75376060.0,393.65416552682643,392.2390131149334,395.073160146011
HCPCS A0428,A0428,month,2019-02,266784,75153292.0,354.9864455704748,353.6406679217272,356.33607694618684
HCPCS A0428,A0428,month,2019-03,283484,74877560.0,378.59673846209733,377.2043314807135,379.9930132858296
HCPCS A0428,A0428,month,2019-04,281264,75071007.0,374.66394982552987,373.2805845255269,376.05117301066946
HCPCS A0428,A0428,month,2019-05,282344,74812854.0,377.4003863025998,376.00958252227946,378.79506127554356
HCPCS A0428,A0428,month,2019-06,258465,74215582.0,348.2624444015005,346.9210987506467,349.6076925117511
HCPCS A0428,A0428,month,2019-07,275514,74488451.0,369.874787703667,368.49494105533097,371.25852243445667
HCPCS A0428,A0428,month,2019-08,281570,75037460.0,375.2392471706798,373.8545100775568,376.6278438723465
HCPCS A0428,A0428,month,2019-09,265869,75625105.0,351.561825930688,350.2267419316973,352.9007396181646
HCPCS A0428,A0428,month,2019-10,290176,75011359.0,386.8427447101712,385.43649680017097,388.25285353494166
HCPCS A0428,A0428,month,2019-11,271467,74622336.0,363.78786105007487,362.4206529033193,365.1589503219818
HCPCS A0428,A0428,month,2019-12,277635,74254894.0,373.89454761055885,372.50503821544834,375.2879573078527
HCPCS A0428,A0428,month,2020-01,296270,74732556.0,396.44034120818776,395.0140893757199,397.87046833409744
HCPCS A0428,A0428,month,2020-02,269140,74443888.0,361.5340456156723,360.16945213372674,362.90252953703214
HCPCS A0428,A0428,month,2020-06,254181,78055480.0,325.6414540016921,324.37671880333323,326.90989970073707
HCPCS A0428,A0428,month,2020-07,271705,79309251.0,342.5892901195095,341.3023151523119,343.8799168491321
HCPCS A0428,A0428,month,2020-08,265470,80202982.0,330.9976678921988,329.7397345362871,332.2592123449718
HCPCS A0428,A0428,month,2020-09,255663,80938780.0,315.8720702239396,314.6488350549345,317.0988837066803
HCPCS A0428,A0428,month,2020-10,270743,83848958.0,322.8936965442075,321.67855920747047,324.11228793551123
HCPCS A0428,A0428,month,2020-11,255499,85021129.0,300.51235852207986,299.3482317589674,301.679891784421
HCPCS A0428,A0428,month,2020-12,277042,83327207.0,332.4748422205007,331.2379410008098,333.7152190963962
HCPCS A0428,A0428,month,2021-01,276260,84904129.0,325.3787574924654,324.16654525522347,326.59438083574696
HCPCS A0428,A0428,month,2021-02,245920,85397214.0,287.9719237679112,286.8348785424514,289.11236053431884
HCPCS A0428,A0428,month,2021-03,278906,85910366.0,324.64766824529653,323.44392536286847,325.85478227040073
HCPCS A0428,A0428,month,2021-04,267982,86730928.0,308.9808977946137,307.8121490436672,310.15298583697773
HCPCS A0428,A0428,month,2021-05,268669,87232698.0,307.9911617545063,306.8276458208493,309.15799776891384
HCPCS A0428,A0428,month,2021-06,267670,87595760.0,305.5741510776321,304.41761584176226,306.73399263738946
HCPCS A0428,A0428,month,2021-07,268629,88407727.0,303.85239968900004,302.7044336157781,305.00364171586693
HCPCS A0428,A0428,month,2021-08,258828,89007226.0,290.79436763931955,289.6751473240641,291.9168418831967
HCPCS A0428,A0428,month,2021-09,252297,89384641.0,282.2599018997011,281.15957165328365,283.3634723631496
HCPCS A0428,A0428,month,2021-10,253339,90288880.0,280.5871553617677,279.495595569546,281.6819229159492
HCPCS A0428,A0428,month,2021-11,253403,90916915.0,278.7193120224108,277.63515544778187,279.8066542001817
HCPCS A0428,A0428,month,2021-12,252820,91152624.0,277.3589929786333,276.2788857324497,278.44227759285724
HCPCS A0428,A0428,month,2022-01,252993,92054533.0,274.8294861264464,273.75959506873244,275.902523421051
HCPCS A0428,A0428,month,2022-02,232500,92416336.0,251.57889834541805,250.55731175138547,252.6036189499585
HCPCS A0428,A0428,month,2022-03,264367,92843565.0,284.7445593025214,283.6601546124137,285.8320834455789
HCPCS A0428,A0428,month,2022-04,252406,93447612.5,270.1042790151541,269.0515620406821,271.1600953261016
HCPCS A0428,A0428,month,2022-05,257745,94051660.0,274.04619971619854,272.9892288556413,275.10624998613855
HCPCS A0428,A0428,month,2022-06,254916,94517722.0,269.70180258893674,268.65583707629287,270.7508323378496
HCPCS A0428,A0428,month,2022-07,250035,95111777.0,262.88542585005007,261.85600223614637,263.91789458123856
HCPCS A0428,A0428,month,2022-08,259844,95824368.0,271.1669332376917,270.1252961997488,272.21159270917127
HCPCS A0428,A0428,month,2022-09,250265,96242503.0,260.0358388434682,259.0180413857785,261.0566456412838
HCPCS A0428,A0428,month,2022-10,250400,96904625.0,258.39839945719825,257.3872834571071,259.4125042348974
HCPCS A0428,A0428,month,2022-11,243688,97433463.0,250.10709103093257,249.11504571137255,251.10210893343915
HCPCS A0428,A0428,month,2022-12,244903,97814451.0,250.37506983502877,249.38442571107063,251.36867495866338
HCPCS A0428,A0428,month,2023-01,263495,98743626.0,266.8476039152137,265.8296783630023,267.86846253216453
HCPCS A0428,A0428,month,2023-02,237802,99047187.0,240.08960496778167,239.12559184365725,241.0565422687529
HCPCS A0428,A0428,month,2023-03,272028,99895730.0,272.31193965948296,271.28957635841596,273.33720216786503
HCPCS A0428,A0428,month,2023-04,247097,100100536.0,246.84882806221935,245.87647752035963,247.8240719719743
HCPCS A0428,A0428,month,2023-05,271305,99734767.0,272.0265040575068,271.0038537413699,273.0520582625277
HCPCS A0428,A0428,month,2023-06,255350,98529848.0,259.1600466084146,258.15581812336393,260.16721455265207
HCPCS A0428,A0428,month,2023-07,248136,97857412.0,253.56893762937446,252.57220752360482,254.5686274216747
HCPCS A0428,A0428,month,2023-08,260018,96623612.0,269.10399499451546,268.0706279495623,270.140359471599
HCPCS A0428,A0428,month,2023-09,241175,95335850.0,252.97409106857495,251.96546481835756,253.98575531637184
HCPCS A0428,A0428,month,2023-10,246089,93799620.0,262.3560735107456,261.3205268235142,263.3947079298918
HCPCS A0428,A0428,month,2023-11,233543,92066205.0,253.66854211053882,252.6407705099841,254.699459635421
HCPCS A0428,A0428,month,2023-12,235031,90517353.0,259.6529750488837,258.6042888908922,260.70486095434774
HCPCS A0428,A0428,quarter,2018-Q1,828861,230550049.0,359.5145624974472,358.7410041195002,360.2893767337803
HCPCS A0428,A0428,quarter,2018-Q2,824717,228935769.0,360.2394696129813,359.462407557877,361.01779638300434
HCPCS A0428,A0428,quarter,2018-Q3,820950,227904788.0,360.2162145009433,359.43742290659674,360.9962765325291
HCPCS A0428,A0428,quarter,2018-Q4,823144,226095567.0,364.06905757687855,363.2829852248018,364.85641053161964
HCPCS A0428,A0428,quarter,2019-Q1,846989,225406912.0,375.7599944406319,374.9601756584691,376.5610977311184
HCPCS A0428,A0428,quarter,2019-Q2,822073,224099443.0,366.83402198371374,366.04146421975145,367.6278717573836
HCPCS A0428,A0428,quarter,2019-Q3,822953,225151016.0,365.5115640250986,364.72228558690506,366.30212843838206
HCPCS A0428,A0428,quarter,2019-Q4,839278,223888589.0,374.86412494207104,374.0625578911849,375.6669852144826
HCPCS A0428,A0428,quarter,2020-Q1,565410,149176444.0,379.02096660783786,378.03366392617403,380.01021035260624
HCPCS A0428,A0428,quarter,2020-Q2,254181,78055480.0,325.6414540016921,324.37671880333323,326.90989970073707
HCPCS A0428,A0428,quarter,2020-Q3,792838,240451013.0,329.72953206065307,329.0041314879585,330.4561367897631
HCPCS A0428,A0428,quarter,2020-Q4,803284,252197294.0,318.51412331172753,317.817965098212,319.2114295943107
HCPCS A0428,A0428,quarter,2021-Q1,801086,256211709.0,312.66564792321805,311.98133602396115,313.35108990377836
HCPCS A0428,A0428,quarter,2021-Q2,804321,261559386.0,307.5098975802,306.83822385241166,308.1826782835251
HCPCS A0428,A0428,quarter,2021-Q3,779754,266799594.0,292.26206393702387,291.61372225013275,292.9114908637566
HCPCS A0428,A0428,quarter,2021-Q4,759562,272358419.0,278.8832461242918,278.25641872146554,279.51113662263475
HCPCS A0428,A0428,quarter,2022-Q1,749860,277314434.0,270.4006384319685,269.7889599138985,271.01336104909535
HCPCS A0428,A0428,quarter,2022-Q2,765067,282016994.5,271.2840059005735,270.6764552536227,271.89258323249237
HCPCS A0428,A0428,quarter,2022-Q3,760144,287178648.0,264.69377347301946,264.0990664795759,265.2894886993979
HCPCS A0428,A0428,quarter,2022-Q4,738991,292152539.0,252.94697165031315,252.37058522811205,253.5243491457697
HCPCS A0428,A0428,quarter,2023-Q1,773325,297686543.0,259.77828631642245,259.19961608571714,260.3579291876995
HCPCS A0428,A0428,quarter,2023-Q2,773752,298365151.0,259.3305543246906,258.7530407718681,259.90903830578736
HCPCS A0428,A0428,quarter,2023-Q3,749329,289816874.0,258.55257827396207,257.96749440280024,259.13866120282216
HCPCS A0428,A0428,quarter,2023-Q4,714663,276383178.0,258.57688053648474,257.97772614045806,259.177082559554
HCPCS A0428,A0428,year,2018,3297672,913486173.0,360.9985676269235,360.6090436079764,361.38840854672543
HCPCS A0428,A0428,year,2019,3331293,898545960.0,370.74263847338426,370.34462369549533,371.1409754209663
HCPCS A0428,A0428,year,2020,2415713,719880231.0,335.57151536781123,335.14848120196,335.9949516750485
HCPCS A0428,A0428,year,2021,3144723,1056929108.0,297.5339572159839,297.2052001820659,297.862988143244
HCPCS A0428,A0428,year,2022,3014062,1138662615.5,264.7019370769884,264.4031868781392,265.00094151008284
HCPCS A0428,A0428,year,2023,3011069,1162251746.0,259.0720134740929,258.7794721243452,259.36480389815665
HCPCS A0429,A0429,month,2018-01,336967,77061511.0,437.27016979981096,435.79499852319975,438.7490991050928
HCPCS A0429,A0429,month,2018-02,295203,76816414.0,384.29677282253766,382.91171511073526,385.68560070394295
HCPCS A0429,A0429,month,2018-03,305396,76672124.0,398.3142556478545,396.9028163521288,399.72947216873024
HCPCS A0429,A0429,month,2018-04,296735,76587909.0,387.443662941627,386.0508695732481,388.8402377220706
HCPCS A0429,A0429,month,2018-05,315870,76388516.0,413.5045639582787,412.063774564059,414.9491445625763
HCPCS A0429,A0429,month,2018-06,298215,75959344.0,392.59817725650714,391.19035764415753,394.009809566296
HCPCS A0429,A0429,month,2018-07,318881,76353875.0,417.63564717573274,416.18734429446295,419.08774297631294
HCPCS A0429,A0429,month,2018-08,318244,76065396.0,418.3820984774733,416.92975691835125,419.83824734288237
HCPCS A0429,A0429,month,2018-09,304007,75485517.0,402.73553402303656,401.3051741546275,404.16973049866533
HCPCS A0429,A0429,month,2018-10,310340,75799027.0,409.4247806109701,407.9855634940746,410.86781844257723
HCPCS A0429,A0429,month,2018-11,291349,75525925.0,385.7602538466096,384.3607642380445,387.1635780602789
HCPCS A0429,A0429,month,2018-12,308810,74770615.0,413.0098435060351,411.55443516424884,414.46912511932794
HCPCS A0429,A0429,month,2019-01,327690,75376060.0,434.7401548979875,433.2529207307259,436.2312311570166
HCPCS A0429,A0429,month,2019-02,298939,75153292.0,397.7723291216571,396.34768227771343,399.2008295529996
HCPCS A0429,A0429,month,2019-03,329480,74877560.0,440.02502218288095,438.5237997820289,441.53011224814617
HCPCS A0429,A0429,month,2019-04,318663,75071007.0,424.482117310615,423.009568812685,425.95852354481104
HCPCS A0429,A0429,month,2019-05,338334,74812854.0,452.24046659147643,450.7178743474634,453.7669298150207
HCPCS A0429,A0429,month,2019-06,330036,74215582.0,444.6990660263232,443.18317472853073,446.2188594848553
HCPCS A0429,A0429,month,2019-07,375327,74488451.0,503.8727412924723,502.2620168716045,505.4873534369867
HCPCS A0429,A0429,month,2019-08,386586,75037460.0,515.1906794286481,513.5679158522362,516.8173022530519
HCPCS A0429,A0429,month,2019-09,377052,75625105.0,498.5804647808423,496.9903052301919,500.1744536173654
HCPCS A0429,A0429,month,2019-10,389647,75011359.0,519.4506607992531,517.8209134629464,521.0842687181524
HCPCS A0429,A0429,month,2019-11,363425,74622336.0,487.01906088815014,485.4369450801061,488.60505747941414
HCPCS A0429,A0429,month,2019-12,389748,74254894.0,524.8785352787655,523.2319715132818,526.5289989559033
HCPCS A0429,A0429,month,2020-01,423211,74732556.0,566.3007163839011,564.5958360212253,568.0094716467684
HCPCS A0429,A0429,month,2020-02,385632,74443888.0,518.0170063121905,516.3833248446118,519.6545778017623
HCPCS A0429,A0429,month,2020-06,317453,78055480.0,406.70174598887866,405.28819448012837,408.1190077365079
